,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2854,7,2020-10-18,14:00,Premier League,Matchweek 5,Sun,Away,D,1,1,Crystal Palace,1.7,0.8,66.0,,Lewis Dunk,3-4-3,4-4-2,Stuart Attwell,Match Report,,20.0,3.0,16.0,0.0,0,0,2021,Brighton and Hove Albion
2855,8,2020-10-26,17:30,Premier League,Matchweek 6,Mon,Home,D,1,1,West Brom,0.5,0.4,50.0,,Adam Webster,3-4-3,4-1-4-1,Jonathan Moss,Match Report,,5.0,3.0,18.4,0.0,0,0,2021,Brighton and Hove Albion
2857,10,2020-11-06,17:30,Premier League,Matchweek 8,Fri,Home,D,0,0,Burnley,1.5,0.5,59.0,,Adam Webster,5-3-2,4-4-2,Mike Dean,Match Report,,19.0,3.0,17.1,1.0,0,0,2021,Brighton and Hove Albion
2859,12,2020-11-28,12:30,Premier League,Matchweek 10,Sat,Home,D,1,1,Liverpool,2.3,0.2,40.0,,Lewis Dunk,3-4-1-2,4-3-3,Stuart Attwell,Match Report,,9.0,2.0,20.9,1.0,1,2,2021,Brighton and Hove Albion
2862,15,2020-12-16,20:00,Premier League,Matchweek 13,Wed,Away,D,0,0,Fulham,0.5,1.0,54.0,,Lewis Dunk,3-4-3,3-4-3,Robert Jones,Match Report,,9.0,4.0,23.5,1.0,0,0,2021,Brighton and Hove Albion
2863,16,2020-12-20,12:00,Premier League,Matchweek 14,Sun,Home,D,1,1,Sheffield Utd,2.8,0.5,73.0,,Lewis Dunk,3-4-3,5-3-2,Peter Bankes,Match Report,,21.0,4.0,14.0,0.0,0,0,2021,Brighton and Hove Albion
2864,17,2020-12-27,14:15,Premier League,Matchweek 15,Sun,Away,D,2,2,West Ham,1.1,1.3,56.0,,Lewis Dunk,3-4-3,3-4-1-2,Simon Hooper,Match Report,,13.0,4.0,16.2,0.0,0,0,2021,Brighton and Hove Albion
2866,19,2021-01-02,17:30,Premier League,Matchweek 17,Sat,Home,D,3,3,Wolves,2.2,1.6,54.0,,Lewis Dunk,3-4-3,4-2-3-1,Andy Madley,Match Report,,12.0,3.0,16.7,0.0,1,1,2021,Brighton and Hove Albion
2869,24,2021-01-27,19:30,Premier League,Matchweek 20,Wed,Home,D,0,0,Fulham,1.8,0.5,50.0,,Lewis Dunk,3-5-2,3-4-3,Craig Pawson,Match Report,,16.0,5.0,16.0,1.0,0,0,2021,Brighton and Hove Albion
2872,27,2021-02-06,15:00,Premier League,Matchweek 23,Sat,Away,D,1,1,Burnley,0.5,1.8,45.0,,Lewis Dunk,3-4-1-2,4-4-2,Anthony Taylor,Match Report,,10.0,2.0,19.1,1.0,0,0,2021,Brighton and Hove Albion
2873,29,2021-02-13,20:00,Premier League,Matchweek 24,Sat,Home,D,0,0,Aston Villa,2.2,0.1,58.0,,Lewis Dunk,4-1-3-2,4-2-3-1,Darren England,Match Report,,26.0,9.0,18.3,3.0,0,0,2021,Brighton and Hove Albion
2880,36,2021-04-12,20:15,Premier League,Matchweek 31,Mon,Home,D,0,0,Everton,1.2,0.4,55.0,,Lewis Dunk,3-4-3,5-3-2,Darren England,Match Report,,23.0,3.0,19.0,2.0,0,0,2021,Brighton and Hove Albion
2881,37,2021-04-20,20:15,Premier League,Matchweek 32,Tue,Away,D,0,0,Chelsea,0.5,0.7,36.0,,Lewis Dunk,3-1-4-2,3-4-3,Stuart Attwell,Match Report,,11.0,2.0,23.6,1.0,0,0,2021,Brighton and Hove Albion
2885,41,2021-05-15,20:00,Premier League,Matchweek 36,Sat,Home,D,1,1,West Ham,0.8,1.7,51.0,,Pascal Groß,3-4-3,4-2-3-1,Andre Marriner,Match Report,,10.0,2.0,23.8,0.0,0,0,2021,Brighton and Hove Albion
