,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2930,7,2020-10-18,12:00,Premier League,Matchweek 5,Sun,Away,D,1,1,Sheffield Utd,1.5,1.7,58.0,,Tom Cairney,3-4-3,3-5-2,Andre Marriner,Match Report,,14.0,6.0,18.8,1.0,0,1,2021,Fulham
2937,14,2020-12-13,16:30,Premier League,Matchweek 12,Sun,Home,D,1,1,Liverpool,1.5,1.8,26.0,2000.0,Joachim Andersen,3-4-3,4-3-3,Andre Marriner,Match Report,,10.0,5.0,16.9,0.0,0,0,2021,Fulham
2938,15,2020-12-16,20:00,Premier League,Matchweek 13,Wed,Home,D,0,0,Brighton,1.0,0.5,46.0,,Joachim Andersen,3-4-3,3-4-3,Robert Jones,Match Report,,9.0,4.0,14.7,0.0,0,0,2021,Fulham
2939,16,2020-12-19,20:00,Premier League,Matchweek 14,Sat,Away,D,1,1,Newcastle Utd,1.0,1.4,51.0,,Tom Cairney,3-4-3,4-4-2,Graham Scott,Match Report,,11.0,4.0,18.3,1.0,0,0,2021,Fulham
2940,17,2020-12-26,15:00,Premier League,Matchweek 15,Sat,Home,D,0,0,Southampton,0.7,0.2,47.0,,Joachim Andersen,3-5-2,4-4-2,Darren England,Match Report,,10.0,1.0,17.6,0.0,0,0,2021,Fulham
2941,19,2021-01-13,20:15,Premier League,Matchweek 16,Wed,Away,D,1,1,Tottenham,1.1,2.4,47.0,,Joachim Andersen,3-5-2,4-2-3-1,Paul Tierney,Match Report,,15.0,4.0,17.3,1.0,0,0,2021,Fulham
2944,23,2021-01-27,19:30,Premier League,Matchweek 20,Wed,Away,D,0,0,Brighton,0.5,1.8,50.0,,Joachim Andersen,3-4-3,3-5-2,Craig Pawson,Match Report,,10.0,2.0,16.8,0.0,0,0,2021,Fulham
2945,24,2021-01-30,15:00,Premier League,Matchweek 21,Sat,Away,D,2,2,West Brom,1.3,1.0,62.0,,Joachim Andersen,3-4-3,3-5-2,Anthony Taylor,Match Report,,12.0,7.0,17.6,0.0,0,0,2021,Fulham
2947,26,2021-02-06,17:30,Premier League,Matchweek 23,Sat,Home,D,0,0,West Ham,1.5,1.0,60.0,,Joachim Andersen,4-2-3-1,4-2-3-1,Mike Dean,Match Report,,20.0,2.0,16.5,2.0,0,0,2021,Fulham
2949,28,2021-02-17,18:00,Premier League,Matchweek 17,Wed,Away,D,1,1,Burnley,0.5,0.9,53.0,,Joachim Andersen,4-4-1-1,4-4-2,Jonathan Moss,Match Report,,8.0,3.0,17.2,0.0,0,0,2021,Fulham
2951,30,2021-02-28,12:00,Premier League,Matchweek 26,Sun,Away,D,0,0,Crystal Palace,1.4,0.1,60.0,,Joachim Andersen,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,16.0,4.0,18.6,1.0,0,0,2021,Fulham
2958,37,2021-04-18,13:30,Premier League,Matchweek 32,Sun,Away,D,1,1,Arsenal,0.9,2.7,31.0,,Joachim Andersen,4-4-2,4-2-3-1,Craig Pawson,Match Report,,2.0,0.0,29.8,0.0,1,1,2021,Fulham
2962,41,2021-05-18,18:00,Premier League,Matchweek 37,Tue,Away,D,1,1,Manchester Utd,0.9,0.9,43.0,10000.0,Tim Ream,3-4-3,4-2-3-1,Lee Mason,Match Report,,8.0,5.0,16.8,0.0,0,0,2021,Fulham
