,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2322,7,2020-10-24,17:30,Premier League,Matchweek 6,Sat,Home,D,0,0,Chelsea,0.6,0.2,51.0,,Harry Maguire,4-2-3-1,3-4-3,Martin Atkinson,Match Report,,14.0,4.0,17.9,0.0,0,0,2021,Manchester United
2328,18,2020-12-12,17:30,Premier League,Matchweek 12,Sat,Home,D,0,0,Manchester City,0.6,1.3,46.0,,Harry Maguire,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,11.0,2.0,17.2,1.0,0,0,2021,Manchester United
2331,22,2020-12-26,12:30,Premier League,Matchweek 15,Sat,Away,D,2,2,Leicester City,1.7,0.9,46.0,,Harry Maguire,4-2-3-1,4-2-3-1,Mike Dean,Match Report,,9.0,4.0,12.7,0.0,0,0,2021,Manchester United
2335,28,2021-01-17,16:30,Premier League,Matchweek 19,Sun,Away,D,0,0,Liverpool,1.1,1.2,35.0,,Harry Maguire,4-2-3-1,4-3-3,Paul Tierney,Match Report,,8.0,4.0,17.3,2.0,0,0,2021,Manchester United
2338,32,2021-01-30,17:30,Premier League,Matchweek 21,Sat,Away,D,0,0,Arsenal,1.6,0.9,57.0,,Harry Maguire,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,14.0,3.0,18.2,1.0,0,0,2021,Manchester United
2340,34,2021-02-06,20:00,Premier League,Matchweek 23,Sat,Home,D,3,3,Everton,1.8,1.5,61.0,,Harry Maguire,4-2-3-1,4-3-1-2,Jonathan Moss,Match Report,,14.0,5.0,15.2,1.0,0,0,2021,Manchester United
2341,36,2021-02-14,14:00,Premier League,Matchweek 24,Sun,Away,D,1,1,West Brom,0.5,1.0,73.0,,Harry Maguire,4-2-3-1,4-1-4-1,Craig Pawson,Match Report,,10.0,6.0,19.1,0.0,0,0,2021,Manchester United
2343,40,2021-02-28,16:30,Premier League,Matchweek 26,Sun,Away,D,0,0,Chelsea,0.4,1.1,43.0,,Harry Maguire,4-2-3-1,3-4-3,Stuart Attwell,Match Report,,11.0,4.0,25.2,1.0,0,0,2021,Manchester United
2344,41,2021-03-03,20:15,Premier League,Matchweek 29,Wed,Away,D,0,0,Crystal Palace,0.9,0.9,63.0,,Harry Maguire,4-2-3-1,4-4-2,Andre Marriner,Match Report,,11.0,1.0,18.4,0.0,0,0,2021,Manchester United
2350,52,2021-04-25,14:00,Premier League,Matchweek 33,Sun,Away,D,0,0,Leeds United,1.2,0.3,56.0,,Harry Maguire,4-2-3-1,4-1-4-1,Craig Pawson,Match Report,,16.0,4.0,18.4,3.0,0,0,2021,Manchester United
2354,58,2021-05-18,18:00,Premier League,Matchweek 37,Tue,Home,D,1,1,Fulham,0.9,0.9,57.0,10000.0,Bruno Fernandes,4-2-3-1,3-4-3,Lee Mason,Match Report,,13.0,6.0,21.7,2.0,0,0,2021,Manchester United
