,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2966,4,2020-09-26,17:30,Premier League,Matchweek 3,Sat,Home,D,3,3,Chelsea,0.6,2.0,25.0,,Jake Livermore,5-4-1,4-2-3-1,Jonathan Moss,Match Report,,9.0,3.0,20.7,0.0,0,0,2021,West Bromwich Albion
2968,6,2020-10-19,17:30,Premier League,Matchweek 5,Mon,Home,D,0,0,Burnley,0.8,1.1,57.0,,Jake Livermore,4-1-4-1,4-4-2,Anthony Taylor,Match Report,,13.0,6.0,17.3,0.0,0,0,2021,West Bromwich Albion
2969,7,2020-10-26,17:30,Premier League,Matchweek 6,Mon,Away,D,1,1,Brighton,0.4,0.5,50.0,,Jake Livermore,4-1-4-1,3-4-3,Jonathan Moss,Match Report,,9.0,3.0,21.9,0.0,0,0,2021,West Bromwich Albion
2976,14,2020-12-15,20:00,Premier League,Matchweek 13,Tue,Away,D,1,1,Manchester City,0.4,2.2,23.0,,Jake Livermore,4-1-4-1,4-2-3-1,Peter Bankes,Match Report,,5.0,1.0,19.7,0.0,0,0,2021,West Bromwich Albion
2978,16,2020-12-27,16:30,Premier League,Matchweek 15,Sun,Away,D,1,1,Liverpool,0.6,1.5,23.0,2000.0,Matt Phillips,4-5-1,4-3-3,Kevin Friend,Match Report,,5.0,3.0,17.5,0.0,0,0,2021,West Bromwich Albion
2984,23,2021-01-30,15:00,Premier League,Matchweek 21,Sat,Home,D,2,2,Fulham,1.0,1.3,38.0,,Jake Livermore,3-5-2,3-4-3,Anthony Taylor,Match Report,,5.0,3.0,15.3,0.0,0,0,2021,West Bromwich Albion
2987,26,2021-02-14,14:00,Premier League,Matchweek 24,Sun,Home,D,1,1,Manchester Utd,1.0,0.5,27.0,,Kyle Bartley,4-1-4-1,4-2-3-1,Craig Pawson,Match Report,,7.0,3.0,14.0,0.0,0,0,2021,West Bromwich Albion
2988,27,2021-02-20,15:00,Premier League,Matchweek 25,Sat,Away,D,0,0,Burnley,1.6,0.5,38.0,,Kyle Bartley,4-1-4-1,4-4-2,Mike Dean,Match Report,,10.0,2.0,22.9,2.0,0,0,2021,West Bromwich Albion
2991,30,2021-03-07,12:00,Premier League,Matchweek 27,Sun,Home,D,0,0,Newcastle Utd,2.0,0.5,53.0,,Kyle Bartley,4-1-4-1,4-3-1-2,Martin Atkinson,Match Report,,13.0,3.0,17.9,0.0,0,0,2021,West Bromwich Albion
2996,35,2021-04-25,19:00,Premier League,Matchweek 33,Sun,Away,D,2,2,Aston Villa,1.5,3.2,30.0,,Kyle Bartley,4-1-4-1,4-2-3-1,Stuart Attwell,Match Report,,9.0,3.0,22.4,2.0,1,1,2021,West Bromwich Albion
2997,36,2021-05-03,18:00,Premier League,Matchweek 34,Mon,Home,D,1,1,Wolves,1.1,1.0,43.0,,Kyle Bartley,3-5-1-1,4-2-3-1,Paul Tierney,Match Report,,10.0,3.0,15.7,0.0,0,0,2021,West Bromwich Albion
