,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2584,0,2020-09-12,17:30,Premier League,Matchweek 1,Sat,Away,L,3,4,Liverpool,0.3,2.7,51.0,,Luke Ayling,4-1-4-1,4-3-3,Michael Oliver,Match Report,,6.0,3.0,19.9,1.0,0,0,2021,Leeds United
2588,5,2020-10-19,20:00,Premier League,Matchweek 5,Mon,Home,L,0,1,Wolves,1.0,0.4,66.0,,Luke Ayling,4-1-4-1,3-5-2,David Coote,Match Report,,13.0,2.0,12.8,0.0,0,0,2021,Leeds United
2590,7,2020-11-02,20:00,Premier League,Matchweek 7,Mon,Home,L,1,4,Leicester City,2.1,2.9,67.0,,Liam Cooper,4-1-4-1,3-4-3,Andre Marriner,Match Report,,11.0,4.0,18.0,0.0,0,0,2021,Leeds United
2591,8,2020-11-07,15:00,Premier League,Matchweek 8,Sat,Away,L,1,4,Crystal Palace,0.8,0.9,64.0,,Liam Cooper,3-3-3-1,4-4-2,Chris Kavanagh,Match Report,,9.0,3.0,18.9,1.0,0,0,2021,Leeds United
2594,11,2020-12-05,20:00,Premier League,Matchweek 11,Sat,Away,L,1,3,Chelsea,0.8,4.1,54.0,2000.0,Liam Cooper,4-4-1-1,4-3-3,Kevin Friend,Match Report,,8.0,3.0,16.8,0.0,0,0,2021,Leeds United
2595,12,2020-12-11,20:00,Premier League,Matchweek 12,Fri,Home,L,1,2,West Ham,1.6,1.3,63.0,,Liam Cooper,4-1-4-1,4-2-3-1,Michael Oliver,Match Report,,12.0,6.0,17.7,0.0,1,1,2021,Leeds United
2597,14,2020-12-20,16:30,Premier League,Matchweek 14,Sun,Away,L,2,6,Manchester Utd,1.8,3.6,59.0,,Liam Cooper,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,17.0,4.0,13.9,0.0,0,0,2021,Leeds United
2600,17,2021-01-02,12:30,Premier League,Matchweek 17,Sat,Away,L,0,3,Tottenham,1.1,2.6,63.0,,Luke Ayling,4-1-4-1,4-2-3-1,David Coote,Match Report,,18.0,5.0,18.5,0.0,0,0,2021,Leeds United
2601,19,2021-01-16,15:00,Premier League,Matchweek 19,Sat,Home,L,0,1,Brighton,0.3,1.4,66.0,,Liam Cooper,4-1-4-1,3-4-3,Kevin Friend,Match Report,,7.0,2.0,18.4,0.0,0,0,2021,Leeds United
2604,22,2021-02-03,19:30,Premier League,Matchweek 22,Wed,Home,L,1,2,Everton,1.3,1.6,63.0,,Liam Cooper,4-1-4-1,4-2-3-1,Michael Oliver,Match Report,,16.0,7.0,14.8,0.0,0,0,2021,Leeds United
2606,24,2021-02-14,16:30,Premier League,Matchweek 24,Sun,Away,L,2,4,Arsenal,0.9,2.3,54.0,,Liam Cooper,4-1-4-1,4-2-3-1,Stuart Attwell,Match Report,,9.0,5.0,17.6,0.0,0,0,2021,Leeds United
2607,25,2021-02-19,20:00,Premier League,Matchweek 25,Fri,Away,L,0,1,Wolves,1.7,0.6,58.0,,Liam Cooper,4-4-1-1,3-4-3,David Coote,Match Report,,18.0,7.0,13.2,0.0,0,0,2021,Leeds United
2609,27,2021-02-27,17:30,Premier League,Matchweek 26,Sat,Home,L,0,1,Aston Villa,0.9,0.7,69.0,,Liam Cooper,4-1-4-1,4-3-3,Peter Bankes,Match Report,,13.0,3.0,18.9,0.0,0,0,2021,Leeds United
2610,28,2021-03-08,20:00,Premier League,Matchweek 27,Mon,Away,L,0,2,West Ham,1.4,1.8,65.0,,Liam Cooper,4-1-4-1,4-2-3-1,Mike Dean,Match Report,,17.0,2.0,18.4,0.0,0,0,2021,Leeds United
2617,35,2021-05-01,15:00,Premier League,Matchweek 34,Sat,Away,L,0,2,Brighton,0.6,2.3,58.0,,Luke Ayling,4-1-4-1,3-4-1-2,Chris Kavanagh,Match Report,,11.0,2.0,21.6,0.0,0,0,2021,Leeds United
