,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2737,2,2020-09-21,20:15,Premier League,Matchweek 2,Mon,Home,L,1,3,Manchester City,0.6,1.9,35.0,,Conor Coady,5-3-2,4-2-3-1,Andre Marriner,Match Report,,10.0,1.0,17.4,0.0,0,0,2021,Wolverhampton Wanderers
2738,3,2020-09-27,19:00,Premier League,Matchweek 3,Sun,Away,L,0,4,West Ham,0.5,2.4,63.0,,Conor Coady,3-4-3,5-4-1,Martin Atkinson,Match Report,,11.0,2.0,21.1,0.0,0,0,2021,Wolverhampton Wanderers
2743,8,2020-11-08,14:00,Premier League,Matchweek 8,Sun,Away,L,0,1,Leicester City,0.8,2.0,51.0,,Conor Coady,3-4-3,3-4-3,Anthony Taylor,Match Report,,8.0,2.0,19.4,1.0,0,0,2021,Wolverhampton Wanderers
2746,11,2020-12-06,19:15,Premier League,Matchweek 11,Sun,Away,L,0,4,Liverpool,0.4,1.2,40.0,2000.0,Conor Coady,4-3-3,4-3-3,Craig Pawson,Match Report,,9.0,3.0,18.5,1.0,0,0,2021,Wolverhampton Wanderers
2747,12,2020-12-12,12:30,Premier League,Matchweek 12,Sat,Home,L,0,1,Aston Villa,1.1,1.4,50.0,,Conor Coady,4-2-3-1,4-3-3,Mike Dean,Match Report,,16.0,7.0,18.5,1.0,0,0,2021,Wolverhampton Wanderers
2749,14,2020-12-21,17:30,Premier League,Matchweek 14,Mon,Away,L,1,2,Burnley,1.5,1.7,63.0,,Conor Coady,3-4-1-2,4-4-2,Lee Mason,Match Report,,14.0,2.0,20.5,2.0,1,1,2021,Wolverhampton Wanderers
2751,16,2020-12-29,20:00,Premier League,Matchweek 16,Tue,Away,L,0,1,Manchester Utd,0.5,1.5,42.0,,Conor Coady,3-4-1-2,4-2-3-1,Jonathan Moss,Match Report,,9.0,5.0,18.3,0.0,0,0,2021,Wolverhampton Wanderers
2753,19,2021-01-12,20:15,Premier League,Matchweek 18,Tue,Home,L,1,2,Everton,0.7,0.6,52.0,,Conor Coady,4-3-3,4-4-2,Martin Atkinson,Match Report,,12.0,3.0,17.9,1.0,0,0,2021,Wolverhampton Wanderers
2754,20,2021-01-16,12:30,Premier League,Matchweek 19,Sat,Home,L,2,3,West Brom,1.5,2.4,67.0,,Conor Coady,4-3-3,4-2-3-1,Michael Oliver,Match Report,,23.0,6.0,17.2,1.0,0,0,2021,Wolverhampton Wanderers
2756,23,2021-01-30,15:00,Premier League,Matchweek 21,Sat,Away,L,0,1,Crystal Palace,0.4,1.4,52.0,,Conor Coady,3-4-3,4-2-3-1,Simon Hooper,Match Report,,6.0,4.0,15.7,0.0,0,0,2021,Wolverhampton Wanderers
2762,30,2021-03-02,20:00,Premier League,Matchweek 29,Tue,Away,L,1,4,Manchester City,0.3,3.3,28.0,,Conor Coady,3-4-3,4-3-3,Chris Kavanagh,Match Report,,6.0,1.0,15.3,0.0,0,0,2021,Wolverhampton Wanderers
2764,32,2021-03-15,20:00,Premier League,Matchweek 28,Mon,Home,L,0,1,Liverpool,1.1,0.9,53.0,,Conor Coady,3-4-1-2,4-3-3,Craig Pawson,Match Report,,10.0,5.0,15.1,1.0,0,0,2021,Wolverhampton Wanderers
2765,33,2021-04-05,20:15,Premier League,Matchweek 30,Mon,Home,L,2,3,West Ham,2.1,1.3,65.0,,Conor Coady,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,20.0,5.0,15.6,0.0,0,0,2021,Wolverhampton Wanderers
2768,36,2021-04-25,12:00,Premier League,Matchweek 33,Sun,Home,L,0,4,Burnley,0.4,2.0,58.0,,Conor Coady,3-4-1-2,4-4-2,Darren England,Match Report,,12.0,2.0,24.8,1.0,0,0,2021,Wolverhampton Wanderers
2771,39,2021-05-16,14:05,Premier League,Matchweek 36,Sun,Away,L,0,2,Tottenham,0.9,3.2,38.0,,Conor Coady,4-2-3-1,4-2-3-1,Martin Atkinson,Match Report,,15.0,3.0,17.6,0.0,0,0,2021,Wolverhampton Wanderers
2772,40,2021-05-19,18:00,Premier League,Matchweek 37,Wed,Away,L,0,1,Everton,0.3,0.7,59.0,4988.0,Conor Coady,3-4-1-2,4-4-2,Andy Madley,Match Report,,9.0,3.0,21.5,0.0,0,0,2021,Wolverhampton Wanderers
2773,41,2021-05-23,16:00,Premier League,Matchweek 38,Sun,Home,L,1,2,Manchester Utd,0.9,2.0,57.0,4500.0,Conor Coady,3-5-2,4-2-3-1,Mike Dean,Match Report,,14.0,4.0,18.0,0.0,0,0,2021,Wolverhampton Wanderers
