,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2660,1,2020-09-21,18:00,Premier League,Matchweek 2,Mon,Home,W,1,0,Sheffield Utd,1.0,0.9,71.0,,Jack Grealish,4-3-3,3-5-2,Graham Scott,Match Report,,18.0,2.0,17.4,0.0,0,0,2021,Aston Villa
2661,3,2020-09-28,17:45,Premier League,Matchweek 3,Mon,Away,W,3,0,Fulham,1.4,0.7,36.0,,Jack Grealish,4-3-3,3-4-3,Stuart Attwell,Match Report,,12.0,5.0,14.5,0.0,0,0,2021,Aston Villa
2662,5,2020-10-04,19:15,Premier League,Matchweek 4,Sun,Home,W,7,2,Liverpool,2.7,1.8,31.0,,Jack Grealish,4-2-3-1,4-3-3,Martin Atkinson,Match Report,,18.0,11.0,16.7,0.0,0,0,2021,Aston Villa
2663,6,2020-10-18,19:15,Premier League,Matchweek 5,Sun,Away,W,1,0,Leicester City,0.7,0.6,50.0,,Jack Grealish,4-2-3-1,4-1-4-1,Jonathan Moss,Match Report,,10.0,4.0,19.4,1.0,0,0,2021,Aston Villa
2666,9,2020-11-08,19:15,Premier League,Matchweek 8,Sun,Away,W,3,0,Arsenal,1.8,1.5,41.0,,Jack Grealish,4-2-3-1,3-4-3,Martin Atkinson,Match Report,,15.0,5.0,12.7,0.0,0,0,2021,Aston Villa
2669,12,2020-12-12,12:30,Premier League,Matchweek 12,Sat,Away,W,1,0,Wolves,1.4,1.1,50.0,,Jack Grealish,4-3-3,4-2-3-1,Mike Dean,Match Report,,12.0,1.0,20.1,1.0,1,1,2021,Aston Villa
2671,14,2020-12-20,19:15,Premier League,Matchweek 14,Sun,Away,W,3,0,West Brom,2.4,0.0,67.0,,Jack Grealish,4-2-3-1,4-1-4-1,Martin Atkinson,Match Report,,18.0,9.0,19.7,1.0,1,1,2021,Aston Villa
2672,15,2020-12-26,15:00,Premier League,Matchweek 15,Sat,Home,W,3,0,Crystal Palace,3.9,0.9,39.0,,Jack Grealish,4-2-3-1,4-4-2,Anthony Taylor,Match Report,,20.0,9.0,12.3,0.0,0,0,2021,Aston Villa
2676,20,2021-01-23,20:00,Premier League,Matchweek 11,Sat,Home,W,2,0,Newcastle Utd,2.3,0.5,58.0,,Jack Grealish,4-2-3-1,5-3-2,Simon Hooper,Match Report,,14.0,5.0,17.4,0.0,0,0,2021,Aston Villa
2678,22,2021-01-30,20:00,Premier League,Matchweek 21,Sat,Away,W,1,0,Southampton,0.6,1.9,41.0,,Jack Grealish,4-2-3-1,4-4-2,Lee Mason,Match Report,,8.0,4.0,16.2,0.0,0,0,2021,Aston Villa
2680,24,2021-02-06,12:30,Premier League,Matchweek 23,Sat,Home,W,1,0,Arsenal,1.2,0.8,35.0,,Jack Grealish,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,12.0,8.0,16.6,0.0,0,0,2021,Aston Villa
2683,27,2021-02-27,17:30,Premier League,Matchweek 26,Sat,Away,W,1,0,Leeds United,0.7,0.9,31.0,,Tyrone Mings,4-3-3,4-1-4-1,Peter Bankes,Match Report,,9.0,4.0,15.8,0.0,0,0,2021,Aston Villa
2688,32,2021-04-04,16:30,Premier League,Matchweek 30,Sun,Home,W,3,1,Fulham,1.5,1.0,53.0,,Tyrone Mings,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,14.0,4.0,19.7,0.0,0,0,2021,Aston Villa
2692,36,2021-05-01,20:00,Premier League,Matchweek 34,Sat,Away,W,2,1,Everton,1.6,1.0,53.0,,Tyrone Mings,4-2-3-1,4-2-3-1,Simon Hooper,Match Report,,13.0,5.0,19.6,1.0,0,0,2021,Aston Villa
2696,40,2021-05-19,18:00,Premier League,Matchweek 37,Wed,Away,W,2,1,Tottenham,1.4,0.8,40.0,10000.0,Jack Grealish,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,20.0,4.0,17.0,0.0,0,0,2021,Aston Villa
2697,41,2021-05-23,16:00,Premier League,Matchweek 38,Sun,Home,W,2,1,Chelsea,1.1,3.3,29.0,10000.0,Jack Grealish,4-2-3-1,3-4-3,Stuart Attwell,Match Report,,5.0,2.0,21.4,0.0,1,1,2021,Aston Villa
