,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2895,10,2020-11-23,17:30,Premier League,Matchweek 9,Mon,Home,W,1,0,Crystal Palace,1.5,1.5,46.0,,Ben Mee,4-4-2,4-4-2,Kevin Friend,Match Report,,10.0,4.0,18.6,0.0,0,0,2021,Burnley
2898,13,2020-12-13,19:15,Premier League,Matchweek 12,Sun,Away,W,1,0,Arsenal,1.4,1.6,35.0,2000.0,Ben Mee,4-4-1-1,4-2-3-1,Graham Scott,Match Report,,10.0,2.0,15.9,0.0,0,0,2021,Burnley
2900,15,2020-12-21,17:30,Premier League,Matchweek 14,Mon,Home,W,2,1,Wolves,1.7,1.5,37.0,,Ben Mee,4-4-2,3-4-1-2,Lee Mason,Match Report,,10.0,4.0,15.8,1.0,0,0,2021,Burnley
2902,17,2020-12-29,18:00,Premier League,Matchweek 16,Tue,Home,W,1,0,Sheffield Utd,1.0,0.7,37.0,,Ben Mee,4-4-2,3-4-3,Chris Kavanagh,Match Report,,5.0,3.0,11.8,1.0,0,0,2021,Burnley
2905,21,2021-01-21,20:00,Premier League,Matchweek 18,Thu,Away,W,1,0,Liverpool,1.1,1.6,28.0,,Ben Mee,4-4-2,4-3-3,Mike Dean,Match Report,,5.0,3.0,18.2,0.0,1,1,2021,Burnley
2906,23,2021-01-27,18:00,Premier League,Matchweek 20,Wed,Home,W,3,2,Aston Villa,0.5,2.2,39.0,,Ben Mee,4-4-2,4-2-3-1,Paul Tierney,Match Report,,10.0,5.0,20.0,0.0,0,0,2021,Burnley
2910,28,2021-02-13,15:00,Premier League,Matchweek 24,Sat,Away,W,3,0,Crystal Palace,1.4,0.5,46.0,,Ben Mee,4-4-2,4-4-2,Michael Oliver,Match Report,,16.0,4.0,17.7,0.0,0,0,2021,Burnley
2916,34,2021-03-13,17:30,Premier League,Matchweek 28,Sat,Away,W,2,1,Everton,0.8,1.5,35.0,,Ben Mee,4-4-2,4-1-2-1-2,Jonathan Moss,Match Report,,14.0,5.0,19.1,1.0,0,0,2021,Burnley
2920,38,2021-04-25,12:00,Premier League,Matchweek 33,Sun,Away,W,4,0,Wolves,2.0,0.4,42.0,,Ben Mee,4-4-2,3-4-1-2,Darren England,Match Report,,14.0,7.0,18.8,0.0,0,0,2021,Burnley
2922,40,2021-05-10,20:00,Premier League,Matchweek 35,Mon,Away,W,2,0,Fulham,1.5,1.0,32.0,,Ben Mee,4-4-2,4-2-3-1,David Coote,Match Report,,14.0,5.0,14.6,0.0,0,0,2021,Burnley
