,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2585,2,2020-09-19,15:00,Premier League,Matchweek 2,Sat,Home,W,4,3,Fulham,1.4,1.7,51.0,,Liam Cooper,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,9.0,6.0,16.9,1.0,1,1,2021,Leeds United
2586,3,2020-09-27,12:00,Premier League,Matchweek 3,Sun,Away,W,1,0,Sheffield Utd,1.2,1.4,64.0,,Liam Cooper,3-1-4-2,3-5-2,Paul Tierney,Match Report,,17.0,8.0,19.0,0.0,0,0,2021,Leeds United
2589,6,2020-10-23,20:00,Premier League,Matchweek 6,Fri,Away,W,3,0,Aston Villa,2.7,1.4,59.0,,Luke Ayling,4-4-1-1,4-2-3-1,Paul Tierney,Match Report,,27.0,9.0,16.9,1.0,0,0,2021,Leeds United
2593,10,2020-11-28,17:30,Premier League,Matchweek 10,Sat,Away,W,1,0,Everton,2.9,1.2,59.0,,Liam Cooper,4-4-1-1,3-4-3,Chris Kavanagh,Match Report,,23.0,6.0,16.5,0.0,0,0,2021,Leeds United
2596,13,2020-12-16,18:00,Premier League,Matchweek 13,Wed,Home,W,5,2,Newcastle Utd,2.7,1.5,68.0,,Liam Cooper,4-1-4-1,4-4-2,Simon Hooper,Match Report,,25.0,10.0,16.7,0.0,0,0,2021,Leeds United
2598,15,2020-12-27,12:00,Premier League,Matchweek 15,Sun,Home,W,1,0,Burnley,1.9,1.5,51.0,,Luke Ayling,3-3-3-1,4-4-2,Robert Jones,Match Report,,10.0,3.0,21.1,0.0,1,1,2021,Leeds United
2599,16,2020-12-29,18:00,Premier League,Matchweek 16,Tue,Away,W,5,0,West Brom,1.2,0.5,75.0,,Luke Ayling,4-1-4-1,4-1-4-1,Lee Mason,Match Report,,14.0,6.0,18.6,0.0,0,0,2021,Leeds United
2602,20,2021-01-26,18:00,Premier League,Matchweek 20,Tue,Away,W,2,1,Newcastle Utd,0.7,1.4,58.0,,Liam Cooper,4-1-4-1,4-4-1-1,Anthony Taylor,Match Report,,9.0,2.0,13.6,0.0,0,0,2021,Leeds United
2603,21,2021-01-31,14:00,Premier League,Matchweek 21,Sun,Away,W,3,1,Leicester City,2.1,1.8,49.0,,Liam Cooper,4-1-4-1,4-2-3-1,Chris Kavanagh,Match Report,,8.0,6.0,13.3,0.0,0,0,2021,Leeds United
2605,23,2021-02-08,20:00,Premier League,Matchweek 23,Mon,Home,W,2,0,Crystal Palace,1.9,0.4,67.0,,Liam Cooper,4-1-4-1,4-4-2,Andre Marriner,Match Report,,17.0,7.0,14.3,1.0,0,0,2021,Leeds United
2608,26,2021-02-23,18:00,Premier League,Matchweek 18,Tue,Home,W,3,0,Southampton,1.3,0.9,46.0,,Liam Cooper,3-3-3-1,4-4-2,Andre Marriner,Match Report,,11.0,7.0,16.2,1.0,0,0,2021,Leeds United
2612,30,2021-03-19,20:00,Premier League,Matchweek 29,Fri,Away,W,2,1,Fulham,1.3,1.6,49.0,,Luke Ayling,4-1-4-1,4-2-3-1,David Coote,Match Report,,13.0,4.0,17.5,1.0,0,0,2021,Leeds United
2613,31,2021-04-03,15:00,Premier League,Matchweek 30,Sat,Home,W,2,1,Sheffield Utd,2.4,1.1,54.0,,Liam Cooper,4-1-4-1,3-5-2,Graham Scott,Match Report,,23.0,8.0,18.3,1.0,0,0,2021,Leeds United
2614,32,2021-04-10,12:30,Premier League,Matchweek 31,Sat,Away,W,2,1,Manchester City,0.1,2.1,29.0,,Liam Cooper,4-1-4-1,4-3-3,Andre Marriner,Match Report,,2.0,2.0,20.5,0.0,0,0,2021,Leeds United
2618,36,2021-05-08,12:30,Premier League,Matchweek 35,Sat,Home,W,3,1,Tottenham,2.5,0.9,53.0,,Luke Ayling,4-1-4-1,4-2-3-1,Michael Oliver,Match Report,,16.0,7.0,15.0,0.0,0,0,2021,Leeds United
2619,37,2021-05-15,12:30,Premier League,Matchweek 36,Sat,Away,W,4,0,Burnley,1.5,1.3,52.0,,Luke Ayling,3-3-3-1,4-4-2,Graham Scott,Match Report,,16.0,6.0,16.8,0.0,0,0,2021,Leeds United
2620,38,2021-05-18,18:00,Premier League,Matchweek 37,Tue,Away,W,2,0,Southampton,1.7,1.6,49.0,8000.0,Liam Cooper,3-3-3-1,4-4-2,Peter Bankes,Match Report,,15.0,7.0,18.8,0.0,0,0,2021,Leeds United
2621,39,2021-05-23,16:00,Premier League,Matchweek 38,Sun,Home,W,3,1,West Brom,2.3,1.0,64.0,8000.0,Liam Cooper,3-4-3,5-3-2,David Coote,Match Report,,16.0,8.0,18.9,1.0,1,1,2021,Leeds United
