,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2814,3,2020-09-26,20:00,Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,0.6,0.5,47.0,,James Ward-Prowse,4-4-2,4-4-2,Andre Marriner,Match Report,,5.0,1.0,15.9,0.0,0,0,2021,Southampton
2815,4,2020-10-04,12:00,Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,1.2,0.2,62.0,,James Ward-Prowse,4-4-2,4-2-3-1,Chris Kavanagh,Match Report,,13.0,7.0,17.9,0.0,0,0,2021,Southampton
2817,6,2020-10-25,14:00,Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,0.7,0.4,54.0,,James Ward-Prowse,4-4-2,4-3-3,Kevin Friend,Match Report,,13.0,6.0,17.4,0.0,0,0,2021,Southampton
2818,7,2020-11-01,12:00,Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,0.7,1.9,44.0,,James Ward-Prowse,4-4-2,4-2-3-1,Darren England,Match Report,,9.0,4.0,18.4,2.0,0,0,2021,Southampton
2819,8,2020-11-06,20:00,Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,0.7,0.3,61.0,,James Ward-Prowse,4-4-2,5-3-2,Peter Bankes,Match Report,,15.0,7.0,18.9,0.0,0,0,2021,Southampton
2822,11,2020-12-07,20:00,Premier League,Matchweek 11,Mon,Away,W,2,1,Brighton,1.4,1.9,52.0,2000.0,James Ward-Prowse,4-4-2,3-4-1-2,David Coote,Match Report,,9.0,2.0,19.2,0.0,1,1,2021,Southampton
2823,12,2020-12-13,12:00,Premier League,Matchweek 12,Sun,Home,W,3,0,Sheffield Utd,2.0,0.3,67.0,2000.0,James Ward-Prowse,4-4-2,5-3-2,Andy Madley,Match Report,,16.0,6.0,17.0,1.0,0,0,2021,Southampton
2828,17,2021-01-04,20:00,Premier League,Matchweek 17,Mon,Home,W,1,0,Liverpool,0.4,1.5,34.0,,James Ward-Prowse,4-4-2,4-3-3,Andre Marriner,Match Report,,7.0,2.0,25.1,0.0,0,0,2021,Southampton
2838,30,2021-03-06,15:00,Premier League,Matchweek 27,Sat,Away,W,2,0,Sheffield Utd,1.9,0.7,49.0,,James Ward-Prowse,4-4-2,3-5-2,Paul Tierney,Match Report,,14.0,6.0,22.2,0.0,1,1,2021,Southampton
2841,34,2021-04-04,12:00,Premier League,Matchweek 30,Sun,Home,W,3,2,Burnley,2.2,1.5,53.0,,James Ward-Prowse,4-4-2,4-4-2,Andre Marriner,Match Report,,24.0,8.0,19.0,0.0,0,0,2021,Southampton
2846,40,2021-05-11,20:15,Premier League,Matchweek 32,Tue,Home,W,3,1,Crystal Palace,1.2,1.5,62.0,,James Ward-Prowse,4-4-2,4-3-3,Andy Madley,Match Report,,13.0,6.0,15.8,1.0,0,0,2021,Southampton
2847,41,2021-05-15,15:00,Premier League,Matchweek 36,Sat,Home,W,3,1,Fulham,1.6,0.8,47.0,,James Ward-Prowse,4-4-2,3-4-3,Craig Pawson,Match Report,,11.0,6.0,14.2,1.0,0,0,2021,Southampton
