,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2736,0,2020-09-14,18:00,Premier League,Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,1.4,1.0,45.0,,Conor Coady,3-4-3,3-5-2,Mike Dean,Match Report,,11.0,4.0,17.2,0.0,0,0,2021,Wolverhampton Wanderers
2739,4,2020-10-04,14:00,Premier League,Matchweek 4,Sun,Home,W,1,0,Fulham,1.2,0.9,48.0,,Conor Coady,3-5-2,4-2-3-1,Darren England,Match Report,,14.0,5.0,19.5,1.0,0,0,2021,Wolverhampton Wanderers
2740,5,2020-10-19,20:00,Premier League,Matchweek 5,Mon,Away,W,1,0,Leeds United,0.4,1.0,34.0,,Conor Coady,3-5-2,4-1-4-1,David Coote,Match Report,,7.0,3.0,18.3,0.0,0,0,2021,Wolverhampton Wanderers
2742,7,2020-10-30,20:00,Premier League,Matchweek 7,Fri,Home,W,2,0,Crystal Palace,1.3,0.7,45.0,,Conor Coady,3-4-3,4-3-3,Martin Atkinson,Match Report,,15.0,5.0,18.8,0.0,0,0,2021,Wolverhampton Wanderers
2745,10,2020-11-29,19:15,Premier League,Matchweek 10,Sun,Away,W,2,1,Arsenal,1.8,1.5,44.0,,Conor Coady,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,11.0,5.0,12.1,0.0,0,0,2021,Wolverhampton Wanderers
2748,13,2020-12-15,18:00,Premier League,Matchweek 13,Tue,Home,W,2,1,Chelsea,0.5,1.0,45.0,,Conor Coady,3-4-1-2,4-3-3,Stuart Attwell,Match Report,,12.0,4.0,21.9,0.0,0,0,2021,Wolverhampton Wanderers
2757,24,2021-02-02,18:00,Premier League,Matchweek 22,Tue,Home,W,2,1,Arsenal,1.5,0.8,55.0,,Conor Coady,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,10.0,6.0,19.4,0.0,1,1,2021,Wolverhampton Wanderers
2759,27,2021-02-14,12:00,Premier League,Matchweek 24,Sun,Away,W,2,1,Southampton,1.1,0.8,49.0,,Conor Coady,3-4-3,4-4-2,Graham Scott,Match Report,,9.0,3.0,19.2,0.0,1,1,2021,Wolverhampton Wanderers
2760,28,2021-02-19,20:00,Premier League,Matchweek 25,Fri,Home,W,1,0,Leeds United,0.6,1.7,42.0,,Conor Coady,3-4-3,4-4-1-1,David Coote,Match Report,,15.0,5.0,23.1,0.0,0,0,2021,Wolverhampton Wanderers
2766,34,2021-04-09,20:00,Premier League,Matchweek 31,Fri,Away,W,1,0,Fulham,0.5,0.9,50.0,,Conor Coady,4-2-3-1,3-4-3,Jonathan Moss,Match Report,,7.0,3.0,14.9,1.0,0,0,2021,Wolverhampton Wanderers
2767,35,2021-04-17,20:15,Premier League,Matchweek 32,Sat,Home,W,1,0,Sheffield Utd,1.1,0.5,48.0,,Conor Coady,3-4-3,3-4-3,Robert Jones,Match Report,,10.0,4.0,13.6,0.0,0,0,2021,Wolverhampton Wanderers
2770,38,2021-05-09,12:00,Premier League,Matchweek 35,Sun,Home,W,2,1,Brighton,1.1,0.3,61.0,,Conor Coady,4-2-3-1,4-4-1-1,Jonathan Moss,Match Report,,16.0,6.0,20.5,1.0,0,0,2021,Wolverhampton Wanderers
