,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2168,3,2021-08-29,14:00,Premier League,Matchweek 3,Sun,Home,D,1,1,Leeds United,1.0,1.2,36.0,20000.0,Ben Mee,4-4-2,3-3-3-1,Michael Oliver,Match Report,,12.0,3.0,16.5,0.0,0,0,2022,Burnley
2171,7,2021-09-25,15:00,Premier League,Matchweek 6,Sat,Away,D,2,2,Leicester City,0.5,2.4,34.0,31650.0,Ben Mee,4-4-2,4-3-3,Chris Kavanagh,Match Report,,9.0,3.0,22.7,1.0,0,0,2022,Burnley
2172,8,2021-10-02,15:00,Premier League,Matchweek 7,Sat,Home,D,0,0,Norwich City,1.2,0.6,56.0,17427.0,James Tarkowski,4-4-2,5-3-2,Kevin Friend,Match Report,,14.0,4.0,16.6,1.0,0,0,2022,Burnley
2174,10,2021-10-23,15:00,Premier League,Matchweek 9,Sat,Away,D,2,2,Southampton,0.7,1.6,39.0,29145.0,James Tarkowski,4-4-2,4-4-2,Chris Kavanagh,Match Report,,9.0,5.0,20.9,0.0,0,0,2022,Burnley
2176,13,2021-11-06,15:00,Premier League,Matchweek 11,Sat,Away,D,1,1,Chelsea,0.7,1.8,30.0,39798.0,Ben Mee,4-4-2,3-4-1-2,Andre Marriner,Match Report,,5.0,2.0,15.9,0.0,0,0,2022,Burnley
2177,14,2021-11-20,15:00,Premier League,Matchweek 12,Sat,Home,D,3,3,Crystal Palace,1.5,1.9,40.0,18028.0,Ben Mee,4-4-2,4-3-3,Simon Hooper,Match Report,,15.0,9.0,16.1,1.0,0,0,2022,Burnley
2178,15,2021-12-01,19:30,Premier League,Matchweek 14,Wed,Away,D,0,0,Wolves,0.2,0.7,35.0,30328.0,Ben Mee,4-4-2,3-4-3,John Brooks,Match Report,,6.0,1.0,21.3,0.0,0,0,2022,Burnley
2180,17,2021-12-12,14:00,Premier League,Matchweek 16,Sun,Home,D,0,0,West Ham,0.8,0.8,40.0,18065.0,Ben Mee,4-4-2,4-2-3-1,Graham Scott,Match Report,,9.0,1.0,15.2,0.0,0,0,2022,Burnley
2183,21,2022-01-23,14:00,Premier League,Matchweek 23,Sun,Away,D,0,0,Arsenal,0.4,1.2,25.0,59255.0,Ben Mee,4-4-2,4-1-4-1,David Coote,Match Report,,10.0,1.0,21.2,0.0,0,0,2022,Burnley
2184,22,2022-02-05,18:00,Premier League,Matchweek 17,Sat,Home,D,0,0,Watford,0.6,0.8,53.0,19527.0,Ben Mee,4-4-2,4-4-2,Craig Pawson,Match Report,,13.0,2.0,19.5,1.0,0,0,2022,Burnley
2185,23,2022-02-08,20:00,Premier League,Matchweek 24,Tue,Home,D,1,1,Manchester Utd,0.4,1.8,37.0,21233.0,Ben Mee,4-4-2,4-2-3-1,Mike Dean,Match Report,,9.0,3.0,20.5,0.0,0,0,2022,Burnley
2189,27,2022-02-26,15:00,Premier League,Matchweek 27,Sat,Away,D,1,1,Crystal Palace,0.2,1.0,41.0,24203.0,Ben Mee,4-4-2,4-3-3,Jonathan Moss,Match Report,,5.0,1.0,19.2,0.0,0,0,2022,Burnley
2196,34,2022-04-17,14:15,Premier League,Matchweek 33,Sun,Away,D,1,1,West Ham,1.8,2.2,39.0,59958.0,James Tarkowski,4-4-2,4-2-3-1,Paul Tierney,Match Report,,8.0,1.0,16.4,0.0,0,1,2022,Burnley
2202,40,2022-05-19,20:00,Premier League,Matchweek 18,Thu,Away,D,1,1,Aston Villa,1.6,1.5,29.0,40468.0,James Tarkowski,5-3-2,4-3-2-1,Paul Tierney,Match Report,,9.0,3.0,17.2,0.0,1,1,2022,Burnley
