,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1902,3,2021-08-28,15:00,Premier League,Matchweek 3,Sat,Home,D,2,2,Southampton,1.0,3.6,37.0,44017.0,Jamaal Lascelles,3-5-2,4-4-2,Paul Tierney,Match Report,,10.0,4.0,16.5,1.0,0,0,2022,Newcastle United
1904,5,2021-09-17,20:00,Premier League,Matchweek 5,Fri,Home,D,1,1,Leeds United,1.3,1.5,35.0,50407.0,Jamaal Lascelles,5-4-1,4-1-4-1,Mike Dean,Match Report,,17.0,7.0,19.2,0.0,0,0,2022,Newcastle United
1905,6,2021-09-25,15:00,Premier League,Matchweek 6,Sat,Away,D,1,1,Watford,1.9,0.9,47.0,20650.0,Federico Fernández,4-1-4-1,4-2-3-1,Jarred Gillett,Match Report,,20.0,6.0,17.9,1.0,0,0,2022,Newcastle United
1908,9,2021-10-23,15:00,Premier League,Matchweek 9,Sat,Away,D,1,1,Crystal Palace,0.3,1.9,26.0,24609.0,Jamaal Lascelles,5-3-2,4-3-3,Darren England,Match Report,,6.0,1.0,14.2,0.0,0,0,2022,Newcastle United
1910,11,2021-11-06,17:30,Premier League,Matchweek 11,Sat,Away,D,1,1,Brighton,0.3,1.5,35.0,31267.0,Jamaal Lascelles,5-4-1,4-2-3-1,David Coote,Match Report,,6.0,1.0,18.1,0.0,0,0,2022,Newcastle United
1911,12,2021-11-20,15:00,Premier League,Matchweek 12,Sat,Home,D,3,3,Brentford,1.5,0.9,53.0,52131.0,Jamaal Lascelles,3-4-3,3-5-2,Robert Jones,Match Report,,23.0,8.0,16.1,0.0,0,0,2022,Newcastle United
1913,14,2021-11-30,19:30,Premier League,Matchweek 14,Tue,Home,D,1,1,Norwich City,1.1,1.2,32.0,50757.0,Callum Wilson,4-4-2,4-1-4-1,Andy Madley,Match Report,,8.0,0.0,22.6,0.0,1,1,2022,Newcastle United
1918,19,2021-12-27,20:00,Premier League,Matchweek 19,Mon,Home,D,1,1,Manchester Utd,1.3,1.6,32.0,52178.0,Jamaal Lascelles,4-5-1,4-2-2-2,Craig Pawson,Match Report,,13.0,8.0,22.6,0.0,0,0,2022,Newcastle United
1919,21,2022-01-15,15:00,Premier League,Matchweek 22,Sat,Home,D,1,1,Watford,1.2,1.4,52.0,52223.0,Jamaal Lascelles,4-3-3,4-3-3,Paul Tierney,Match Report,,12.0,1.0,14.6,0.0,0,0,2022,Newcastle United
1923,25,2022-02-19,12:30,Premier League,Matchweek 26,Sat,Away,D,1,1,West Ham,0.8,0.6,53.0,59949.0,Jonjo Shelvey,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,14.0,3.0,16.0,0.0,0,0,2022,Newcastle United
