,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1672,0,2021-08-13,20:00,Premier League,Matchweek 1,Fri,Away,L,0,2,Brentford,1.3,1.2,64.0,16479.0,Granit Xhaka,4-2-3-1,3-5-2,Michael Oliver,Match Report,,22.0,4.0,19.0,1.0,0,0,2022,Arsenal
1673,1,2021-08-22,16:30,Premier League,Matchweek 2,Sun,Home,L,0,2,Chelsea,0.3,3.1,35.0,58729.0,Granit Xhaka,4-2-3-1,3-4-3,Paul Tierney,Match Report,,6.0,3.0,18.7,0.0,0,0,2022,Arsenal
1674,3,2021-08-28,12:30,Premier League,Matchweek 3,Sat,Away,L,0,5,Manchester City,0.2,4.4,20.0,52276.0,Pierre-Emerick Aubameyang,5-4-1,4-3-3,Martin Atkinson,Match Report,,1.0,0.0,6.8,0.0,0,0,2022,Arsenal
1683,14,2021-11-20,17:30,Premier League,Matchweek 12,Sat,Away,L,0,4,Liverpool,0.4,4.3,38.0,53092.0,Pierre-Emerick Aubameyang,4-4-1-1,4-3-3,Michael Oliver,Match Report,,5.0,3.0,19.9,0.0,0,0,2022,Arsenal
1685,16,2021-12-02,20:15,Premier League,Matchweek 14,Thu,Away,L,2,3,Manchester Utd,1.4,1.9,56.0,73123.0,Pierre-Emerick Aubameyang,4-4-1-1,4-2-3-1,Martin Atkinson,Match Report,,17.0,7.0,16.5,1.0,0,0,2022,Arsenal
1686,17,2021-12-06,20:00,Premier League,Matchweek 15,Mon,Away,L,1,2,Everton,1.0,0.9,63.0,38906.0,Alexandre Lacazette,4-2-3-1,4-4-1-1,Mike Dean,Match Report,,10.0,3.0,16.1,0.0,0,0,2022,Arsenal
1691,23,2022-01-01,12:30,Premier League,Matchweek 21,Sat,Home,L,1,2,Manchester City,0.8,2.0,29.0,59757.0,Alexandre Lacazette,4-2-3-1,4-2-3-1,Stuart Attwell,Match Report,,7.0,2.0,15.6,0.0,0,0,2022,Arsenal
1698,33,2022-03-16,20:15,Premier League,Matchweek 27,Wed,Home,L,0,2,Liverpool,0.5,0.8,49.0,59968.0,Alexandre Lacazette,4-2-3-1,4-3-3,Andre Marriner,Match Report,,9.0,2.0,22.5,0.0,0,0,2022,Arsenal
1700,35,2022-04-04,20:00,Premier League,Matchweek 31,Mon,Away,L,0,3,Crystal Palace,0.8,1.5,68.0,25149.0,Alexandre Lacazette,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,12.0,3.0,18.5,0.0,0,0,2022,Arsenal
1701,36,2022-04-09,15:00,Premier League,Matchweek 32,Sat,Home,L,1,2,Brighton,1.9,0.6,64.0,60112.0,Alexandre Lacazette,4-2-3-1,3-5-2,David Coote,Match Report,,20.0,4.0,16.7,2.0,0,0,2022,Arsenal
1702,37,2022-04-16,15:00,Premier League,Matchweek 33,Sat,Away,L,0,1,Southampton,1.7,0.8,75.0,31465.0,Martin Ødegaard,4-2-3-1,3-4-3,Peter Bankes,Match Report,,23.0,6.0,18.3,1.0,0,0,2022,Arsenal
1707,42,2022-05-12,19:45,Premier League,Matchweek 22,Thu,Away,L,0,3,Tottenham,0.5,2.7,43.0,62027.0,Martin Ødegaard,4-3-3,3-4-3,Paul Tierney,Match Report,,9.0,5.0,24.0,0.0,0,0,2022,Arsenal
1708,43,2022-05-16,20:00,Premier League,Matchweek 37,Mon,Away,L,0,2,Newcastle Utd,0.6,1.6,49.0,52274.0,Martin Ødegaard,4-2-3-1,4-3-3,Darren England,Match Report,,11.0,2.0,21.1,0.0,0,0,2022,Arsenal
