,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2014,0,2021-08-14,15:00,Premier League,Matchweek 1,Sat,Away,L,2,3,Watford,1.2,1.2,62.0,20051.0,Tyrone Mings,4-2-3-1,4-1-4-1,Mike Dean,Match Report,,10.0,1.0,22.8,1.0,1,1,2022,Aston Villa
2017,4,2021-09-11,17:30,Premier League,Matchweek 4,Sat,Away,L,0,3,Chelsea,1.2,1.3,43.0,39969.0,Tyrone Mings,5-3-2,3-4-3,Stuart Attwell,Match Report,,18.0,6.0,18.6,0.0,0,0,2022,Aston Villa
2020,8,2021-10-03,14:00,Premier League,Matchweek 7,Sun,Away,L,1,2,Tottenham,1.2,1.3,44.0,53076.0,Tyrone Mings,3-5-2,4-2-3-1,Chris Kavanagh,Match Report,,14.0,3.0,18.0,0.0,0,0,2022,Aston Villa
2021,9,2021-10-16,15:00,Premier League,Matchweek 8,Sat,Home,L,2,3,Wolves,1.0,2.0,48.0,41951.0,Tyrone Mings,3-4-1-2,3-4-3,Michael Oliver,Match Report,,14.0,5.0,18.0,0.0,0,0,2022,Aston Villa
2022,10,2021-10-22,20:00,Premier League,Matchweek 9,Fri,Away,L,1,3,Arsenal,1.4,2.7,47.0,59496.0,Tyrone Mings,3-4-1-2,4-2-3-1,Craig Pawson,Match Report,,10.0,4.0,17.2,1.0,0,0,2022,Aston Villa
2023,11,2021-10-31,16:30,Premier League,Matchweek 10,Sun,Home,L,1,4,West Ham,0.7,2.3,43.0,41874.0,John McGinn,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,9.0,3.0,16.4,0.0,0,0,2022,Aston Villa
2024,12,2021-11-05,20:00,Premier League,Matchweek 11,Fri,Away,L,0,1,Southampton,0.6,0.6,44.0,30178.0,Tyrone Mings,4-2-3-1,4-4-2,Andy Madley,Match Report,,14.0,3.0,19.5,1.0,0,0,2022,Aston Villa
2027,15,2021-12-01,20:15,Premier League,Matchweek 14,Wed,Home,L,1,2,Manchester City,0.8,1.0,36.0,41400.0,Tyrone Mings,4-3-3,4-2-3-1,Mike Dean,Match Report,,9.0,3.0,13.1,0.0,0,0,2022,Aston Villa
2029,17,2021-12-11,15:00,Premier League,Matchweek 16,Sat,Away,L,0,1,Liverpool,0.2,2.2,38.0,53093.0,Tyrone Mings,4-3-3,4-3-3,Stuart Attwell,Match Report,,4.0,0.0,23.6,1.0,0,0,2022,Aston Villa
2031,19,2021-12-26,17:30,Premier League,Matchweek 19,Sun,Home,L,1,3,Chelsea,0.4,2.6,42.0,41907.0,Tyrone Mings,4-3-1-2,3-4-3,Martin Atkinson,Match Report,,8.0,1.0,18.8,0.0,0,0,2022,Aston Villa
2032,20,2022-01-02,14:00,Premier League,Matchweek 21,Sun,Away,L,1,2,Brentford,0.8,0.6,55.0,16876.0,John McGinn,4-3-3,3-5-2,Craig Pawson,Match Report,,16.0,5.0,17.1,0.0,0,0,2022,Aston Villa
2036,25,2022-02-13,14:00,Premier League,Matchweek 25,Sun,Away,L,0,1,Newcastle Utd,0.6,0.5,62.0,52207.0,Tyrone Mings,4-3-3,4-3-3,Craig Pawson,Match Report,,11.0,1.0,19.9,1.0,0,0,2022,Aston Villa
2037,26,2022-02-19,15:00,Premier League,Matchweek 26,Sat,Home,L,0,1,Watford,1.3,1.2,59.0,41936.0,Tyrone Mings,4-3-3,4-3-3,Robert Jones,Match Report,,20.0,1.0,21.0,1.0,0,0,2022,Aston Villa
2041,30,2022-03-13,14:00,Premier League,Matchweek 29,Sun,Away,L,1,2,West Ham,1.1,1.2,53.0,59957.0,Tyrone Mings,4-1-2-1-2◆,4-2-3-1,Jarred Gillett,Match Report,,13.0,7.0,14.9,1.0,0,0,2022,Aston Villa
2042,31,2022-03-19,12:30,Premier League,Matchweek 30,Sat,Home,L,0,1,Arsenal,0.5,1.3,47.0,41956.0,Tyrone Mings,4-3-2-1,4-2-3-1,Andy Madley,Match Report,,8.0,1.0,16.8,2.0,0,0,2022,Aston Villa
2043,32,2022-04-02,15:00,Premier League,Matchweek 31,Sat,Away,L,1,2,Wolves,2.1,1.3,51.0,31012.0,Tyrone Mings,4-3-1-2,3-4-3,Darren England,Match Report,,14.0,4.0,20.0,1.0,1,1,2022,Aston Villa
2044,33,2022-04-09,17:30,Premier League,Matchweek 32,Sat,Home,L,0,4,Tottenham,1.6,1.1,52.0,41949.0,Tyrone Mings,4-3-1-2,3-4-3,Graham Scott,Match Report,,19.0,8.0,16.3,1.0,0,0,2022,Aston Villa
2048,37,2022-05-10,20:00,Premier League,Matchweek 33,Tue,Home,L,1,2,Liverpool,1.4,1.8,40.0,41919.0,Tyrone Mings,4-3-1-2,4-3-3,Jonathan Moss,Match Report,,9.0,4.0,13.7,0.0,0,0,2022,Aston Villa
2051,40,2022-05-22,16:00,Premier League,Matchweek 38,Sun,Away,L,2,3,Manchester City,0.2,3.4,29.0,53395.0,Tyrone Mings,4-3-2-1,4-3-3,Michael Oliver,Match Report,,4.0,2.0,16.8,0.0,0,0,2022,Aston Villa
