,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1979,4,2021-09-11,15:00,Premier League,Matchweek 4,Sat,Home,L,0,1,Brighton,0.4,0.3,41.0,16518.0,Pontus Jansson,3-5-2,3-4-1-2,Graham Scott,Match Report,,7.0,1.0,20.3,0.0,0,0,2022,Brentford
1983,9,2021-10-16,17:30,Premier League,Matchweek 8,Sat,Home,L,0,1,Chelsea,1.4,0.3,45.0,16940.0,Pontus Jansson,3-5-2,3-5-2,Anthony Taylor,Match Report,,17.0,6.0,14.5,0.0,0,0,2022,Brentford
1984,10,2021-10-24,14:00,Premier League,Matchweek 9,Sun,Home,L,1,2,Leicester City,1.0,1.5,54.0,16814.0,Pontus Jansson,3-5-2,3-4-1-2,Simon Hooper,Match Report,,15.0,5.0,16.3,0.0,0,0,2022,Brentford
1985,12,2021-10-30,15:00,Premier League,Matchweek 10,Sat,Away,L,1,3,Burnley,0.8,2.3,59.0,18821.0,Pontus Jansson,3-5-2,4-4-2,Jonathan Moss,Match Report,,12.0,4.0,18.2,1.0,0,0,2022,Brentford
1986,13,2021-11-06,15:00,Premier League,Matchweek 11,Sat,Home,L,1,2,Norwich City,2.5,1.2,64.0,16837.0,Pontus Jansson,3-5-2,4-2-3-1,Jarred Gillett,Match Report,,19.0,7.0,10.8,0.0,0,0,2022,Brentford
1989,16,2021-12-02,19:30,Premier League,Matchweek 14,Thu,Away,L,0,2,Tottenham,0.3,1.9,53.0,54202.0,Pontus Jansson,3-5-2,3-4-3,Jonathan Moss,Match Report,,6.0,2.0,17.1,0.0,0,0,2022,Brentford
1992,20,2021-12-26,20:00,Premier League,Matchweek 19,Sun,Away,L,0,2,Brighton,0.7,0.8,50.0,30141.0,Pontus Jansson,3-5-2,4-1-2-1-2,Darren England,Match Report,,16.0,5.0,17.1,0.0,0,0,2022,Brentford
1993,21,2021-12-29,20:15,Premier League,Matchweek 20,Wed,Home,L,0,1,Manchester City,0.4,1.1,24.0,17009.0,Pontus Jansson,3-5-2,4-3-3,David Coote,Match Report,,6.0,2.0,24.6,0.0,0,0,2022,Brentford
1995,24,2022-01-11,19:45,Premier League,Matchweek 18,Tue,Away,L,1,4,Southampton,0.5,1.4,52.0,27383.0,Pontus Jansson,3-5-2,3-5-2,Stuart Attwell,Match Report,,5.0,4.0,12.8,0.0,0,0,2022,Brentford
1996,25,2022-01-16,14:00,Premier League,Matchweek 22,Sun,Away,L,0,3,Liverpool,0.7,2.7,32.0,52824.0,Pontus Jansson,3-5-2,4-3-3,Jonathan Moss,Match Report,,6.0,1.0,21.2,0.0,0,0,2022,Brentford
1997,26,2022-01-19,20:00,Premier League,Matchweek 17,Wed,Home,L,1,3,Manchester Utd,2.3,2.3,44.0,17094.0,Pontus Jansson,3-5-2,4-2-3-1,Andre Marriner,Match Report,,18.0,9.0,16.7,0.0,0,0,2022,Brentford
1998,27,2022-01-22,15:00,Premier League,Matchweek 23,Sat,Home,L,1,2,Wolves,1.1,0.2,50.0,16982.0,Pontus Jansson,3-5-2,3-5-2,Peter Bankes,Match Report,,11.0,1.0,13.6,1.0,0,0,2022,Brentford
1999,29,2022-02-09,19:45,Premier League,Matchweek 24,Wed,Away,L,0,2,Manchester City,0.4,1.9,26.0,51658.0,Pontus Jansson,3-5-2,4-3-3,Darren England,Match Report,,6.0,2.0,18.3,0.0,0,0,2022,Brentford
2001,31,2022-02-19,15:00,Premier League,Matchweek 26,Sat,Away,L,1,2,Arsenal,0.6,1.7,34.0,59249.0,Pontus Jansson,3-5-2,4-2-3-1,Jonathan Moss,Match Report,,6.0,2.0,20.7,0.0,0,0,2022,Brentford
2002,32,2022-02-26,15:00,Premier League,Matchweek 27,Sat,Home,L,0,2,Newcastle Utd,0.4,2.7,37.0,17039.0,Pontus Jansson,4-3-3,4-3-3,Mike Dean,Match Report,,6.0,1.0,16.5,0.0,0,0,2022,Brentford
2005,35,2022-03-20,14:00,Premier League,Matchweek 30,Sun,Away,L,1,2,Leicester City,1.3,1.0,48.0,31830.0,Pontus Jansson,4-5-1,4-2-3-1,Darren England,Match Report,,15.0,6.0,14.9,0.0,0,0,2022,Brentford
2010,40,2022-05-02,20:00,Premier League,Matchweek 35,Mon,Away,L,0,3,Manchester Utd,0.6,2.0,37.0,73482.0,Pontus Jansson,5-3-2,4-2-3-1,Chris Kavanagh,Match Report,,12.0,4.0,18.9,1.0,0,0,2022,Brentford
2013,43,2022-05-22,16:00,Premier League,Matchweek 38,Sun,Home,L,1,2,Leeds United,0.8,1.3,49.0,16957.0,Pontus Jansson,4-3-3,4-4-1-1,Paul Tierney,Match Report,,14.0,5.0,13.7,0.0,0,0,2022,Brentford
