,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1938,0,2021-08-14,15:00,Premier League,Matchweek 1,Sat,Away,L,0,3,Chelsea,0.2,0.7,38.0,38965.0,James McArthur,4-4-2,3-4-3,Jonathan Moss,Match Report,,4.0,1.0,10.8,0.0,0,0,2022,Crystal Palace
1942,5,2021-09-18,15:00,Premier League,Matchweek 5,Sat,Away,L,0,3,Liverpool,0.6,3.1,41.0,52000.0,James McArthur,4-3-3,4-3-3,Andy Madley,Match Report,,13.0,2.0,19.0,1.0,0,0,2022,Crystal Palace
1950,13,2021-11-27,15:00,Premier League,Matchweek 13,Sat,Home,L,1,2,Aston Villa,1.0,0.5,64.0,25203.0,Luka Milivojević,4-2-3-1,4-3-3,Michael Salisbury,Match Report,,8.0,3.0,13.9,0.0,0,0,2022,Crystal Palace
1951,14,2021-11-30,20:15,Premier League,Matchweek 14,Tue,Away,L,0,1,Leeds United,1.1,1.4,39.0,35558.0,Joel Ward,4-3-3,4-1-4-1,Kevin Friend,Match Report,,9.0,1.0,18.1,1.0,0,0,2022,Crystal Palace
1952,15,2021-12-05,14:00,Premier League,Matchweek 15,Sun,Away,L,0,1,Manchester Utd,0.5,0.9,39.0,73172.0,Wilfried Zaha,4-3-3,4-2-2-2,Craig Pawson,Match Report,,8.0,2.0,19.2,0.0,0,0,2022,Crystal Palace
1955,18,2021-12-26,15:00,Premier League,Matchweek 19,Sun,Away,L,0,3,Tottenham,0.2,2.3,40.0,40539.0,Joel Ward,4-3-3,3-4-3,Jonathan Moss,Match Report,,4.0,0.0,17.7,0.0,0,0,2022,Crystal Palace
1957,20,2022-01-01,17:30,Premier League,Matchweek 21,Sat,Home,L,2,3,West Ham,2.4,2.2,62.0,24351.0,Luka Milivojević,4-3-3,4-2-3-1,Darren England,Match Report,,22.0,6.0,15.8,2.0,0,0,2022,Crystal Palace
1959,23,2022-01-23,14:00,Premier League,Matchweek 23,Sun,Home,L,1,3,Liverpool,2.2,1.9,43.0,25002.0,Joel Ward,4-3-3,4-3-3,Kevin Friend,Match Report,,8.0,5.0,12.2,0.0,0,0,2022,Crystal Palace
1962,27,2022-02-19,15:00,Premier League,Matchweek 26,Sat,Home,L,0,1,Chelsea,0.5,0.9,42.0,25109.0,James McArthur,4-2-3-1,4-3-3,David Coote,Match Report,,7.0,0.0,14.6,0.0,0,0,2022,Crystal Palace
1968,35,2022-04-10,14:00,Premier League,Matchweek 32,Sun,Away,L,1,2,Leicester City,1.4,1.0,49.0,31896.0,Marc Guéhi,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,10.0,2.0,14.0,0.0,0,1,2022,Crystal Palace
1969,37,2022-04-20,19:45,Premier League,Matchweek 30,Wed,Away,L,0,1,Newcastle Utd,0.5,0.9,63.0,51938.0,Marc Guéhi,4-2-3-1,4-3-3,Tony Harrington,Match Report,,10.0,2.0,15.4,0.0,0,0,2022,Crystal Palace
1974,42,2022-05-19,19:45,Premier League,Matchweek 33,Thu,Away,L,2,3,Everton,1.1,0.8,57.0,38448.0,Marc Guéhi,4-3-3,3-4-3,Anthony Taylor,Match Report,,7.0,5.0,14.2,0.0,0,0,2022,Crystal Palace
