,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2242,0,2021-08-14,17:30,Premier League,Matchweek 1,Sat,Home,L,0,3,Liverpool,1.4,1.6,50.0,27023.0,Grant Hanley,4-3-3,4-3-3,Andre Marriner,Match Report,,14.0,3.0,17.1,0.0,0,0,2022,Norwich City
2243,1,2021-08-21,15:00,Premier League,Matchweek 2,Sat,Away,L,0,5,Manchester City,0.1,2.6,33.0,51437.0,Grant Hanley,4-3-3,4-3-3,Graham Scott,Match Report,,1.0,0.0,16.8,0.0,0,0,2022,Norwich City
2244,3,2021-08-28,15:00,Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,1.5,1.5,45.0,26765.0,Grant Hanley,4-3-3,4-4-2,Robert Jones,Match Report,,13.0,3.0,22.6,1.0,1,1,2022,Norwich City
2245,4,2021-09-11,15:00,Premier League,Matchweek 4,Sat,Away,L,0,1,Arsenal,0.7,2.7,49.0,58000.0,Grant Hanley,4-3-3,4-2-3-1,Michael Oliver,Match Report,,10.0,1.0,19.9,1.0,0,0,2022,Norwich City
2246,5,2021-09-18,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Watford,1.0,2.4,49.0,26649.0,Grant Hanley,4-3-3,4-2-3-1,Robert Jones,Match Report,,12.0,5.0,20.7,1.0,0,0,2022,Norwich City
2247,7,2021-09-25,15:00,Premier League,Matchweek 6,Sat,Away,L,0,2,Everton,0.5,1.9,53.0,38821.0,Grant Hanley,5-3-2,4-4-1-1,David Coote,Match Report,,10.0,2.0,22.3,1.0,0,0,2022,Norwich City
2250,10,2021-10-23,12:30,Premier League,Matchweek 9,Sat,Away,L,0,7,Chelsea,0.1,3.1,38.0,40113.0,Grant Hanley,3-5-2,3-4-3,Andy Madley,Match Report,,3.0,1.0,20.8,0.0,0,0,2022,Norwich City
2251,11,2021-10-31,14:00,Premier League,Matchweek 10,Sun,Home,L,1,2,Leeds United,0.8,0.7,48.0,26913.0,Grant Hanley,4-4-2,3-3-3-1,Anthony Taylor,Match Report,,14.0,3.0,21.8,3.0,0,0,2022,Norwich City
2256,16,2021-12-05,14:00,Premier League,Matchweek 15,Sun,Away,L,0,3,Tottenham,1.2,1.6,59.0,57088.0,Grant Hanley,5-3-2,3-4-3,Jarred Gillett,Match Report,,10.0,1.0,16.2,0.0,0,0,2022,Norwich City
2257,17,2021-12-11,17:30,Premier League,Matchweek 16,Sat,Home,L,0,1,Manchester Utd,1.2,2.0,48.0,27606.0,Grant Hanley,4-3-3,4-2-2-2,Darren England,Match Report,,11.0,5.0,14.2,0.0,0,0,2022,Norwich City
