,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2052,0,2021-08-14,15:00,Premier League,Matchweek 1,Sat,Away,L,1,3,Everton,0.8,2.4,52.0,38487.0,James Ward-Prowse,4-4-2,4-2-3-1,Andy Madley,Match Report,,6.0,3.0,15.5,0.0,0,0,2022,Southampton
2057,7,2021-09-26,14:00,Premier League,Matchweek 6,Sun,Home,L,0,1,Wolves,1.0,1.0,57.0,28002.0,James Ward-Prowse,4-4-2,3-4-3,Andy Madley,Match Report,,18.0,6.0,20.7,1.0,0,0,2022,Southampton
2058,8,2021-10-02,15:00,Premier League,Matchweek 7,Sat,Away,L,1,3,Chelsea,1.3,3.3,38.0,40109.0,James Ward-Prowse,4-4-2,3-4-3,Martin Atkinson,Match Report,,5.0,1.0,24.0,0.0,1,1,2022,Southampton
2063,14,2021-11-20,15:00,Premier League,Matchweek 12,Sat,Away,L,1,2,Norwich City,1.0,0.5,62.0,26885.0,James Ward-Prowse,4-4-2,4-3-3,Martin Atkinson,Match Report,,17.0,5.0,18.8,0.0,0,0,2022,Southampton
2064,15,2021-11-27,15:00,Premier League,Matchweek 13,Sat,Away,L,0,4,Liverpool,1.0,2.9,36.0,53040.0,James Ward-Prowse,3-4-3,4-3-3,Andre Marriner,Match Report,,7.0,3.0,10.5,0.0,0,0,2022,Southampton
2067,18,2021-12-11,15:00,Premier League,Matchweek 16,Sat,Away,L,0,3,Arsenal,0.6,1.8,39.0,59653.0,James Ward-Prowse,4-4-2,4-4-1-1,Jarred Gillett,Match Report,,11.0,6.0,22.1,3.0,0,0,2022,Southampton
2072,24,2022-01-15,15:00,Premier League,Matchweek 22,Sat,Away,L,1,3,Wolves,0.8,2.5,57.0,30057.0,James Ward-Prowse,3-5-2,3-4-3,Michael Salisbury,Match Report,,13.0,10.0,20.4,2.0,0,0,2022,Southampton
2078,32,2022-03-05,15:00,Premier League,Matchweek 28,Sat,Away,L,0,4,Aston Villa,1.1,2.5,62.0,41855.0,James Ward-Prowse,4-4-2,4-3-1-2,Peter Bankes,Match Report,,11.0,1.0,19.1,1.0,0,0,2022,Southampton
2079,33,2022-03-10,19:30,Premier League,Matchweek 21,Thu,Home,L,1,2,Newcastle Utd,1.1,0.6,67.0,30056.0,James Ward-Prowse,4-4-2,4-3-3,Kevin Friend,Match Report,,14.0,5.0,13.9,0.0,0,0,2022,Southampton
2080,34,2022-03-13,14:00,Premier League,Matchweek 29,Sun,Home,L,1,2,Watford,1.4,1.7,63.0,28863.0,James Ward-Prowse,4-4-2,4-3-3,Graham Scott,Match Report,,13.0,6.0,12.8,1.0,0,0,2022,Southampton
2082,37,2022-04-09,15:00,Premier League,Matchweek 32,Sat,Home,L,0,6,Chelsea,0.5,4.2,30.0,31359.0,James Ward-Prowse,4-4-2,3-4-1-2,Kevin Friend,Match Report,,4.0,1.0,17.0,0.0,0,0,2022,Southampton
2084,39,2022-04-21,19:45,Premier League,Matchweek 30,Thu,Away,L,0,2,Burnley,0.9,1.5,56.0,17384.0,James Ward-Prowse,3-1-4-2,4-4-2,Stuart Attwell,Match Report,,11.0,3.0,15.1,1.0,0,0,2022,Southampton
2086,41,2022-04-30,15:00,Premier League,Matchweek 35,Sat,Home,L,1,2,Crystal Palace,0.6,1.1,38.0,31359.0,James Ward-Prowse,4-4-2,4-3-3,Jarred Gillett,Match Report,,8.0,3.0,16.4,0.0,0,0,2022,Southampton
2087,42,2022-05-07,15:00,Premier League,Matchweek 36,Sat,Away,L,0,3,Brentford,1.4,2.6,59.0,17051.0,James Ward-Prowse,4-4-2,4-3-3,Michael Salisbury,Match Report,,19.0,4.0,18.8,2.0,0,0,2022,Southampton
2088,43,2022-05-17,19:45,Premier League,Matchweek 37,Tue,Home,L,1,2,Liverpool,0.1,1.3,30.0,31588.0,James Ward-Prowse,5-4-1,4-3-3,Martin Atkinson,Match Report,,4.0,2.0,25.2,1.0,0,0,2022,Southampton
2089,44,2022-05-22,16:00,Premier League,Matchweek 38,Sun,Away,L,1,4,Leicester City,1.1,3.4,49.0,32003.0,James Ward-Prowse,4-4-2,4-2-3-1,Jonathan Moss,Match Report,,6.0,1.0,18.9,1.0,1,1,2022,Southampton
