,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2205,1,2021-08-21,17:30,Premier League,Matchweek 2,Sat,Away,L,0,2,Brighton,0.5,1.3,44.0,29485.0,Tom Cleverley,4-1-4-1,4-4-1-1,Anthony Taylor,Match Report,,10.0,1.0,19.3,0.0,0,0,2022,Watford
2206,3,2021-08-29,14:00,Premier League,Matchweek 3,Sun,Away,L,0,1,Tottenham,0.8,1.0,43.0,57672.0,Craig Cathcart,4-1-4-1,4-3-3,Andre Marriner,Match Report,,9.0,2.0,16.3,1.0,0,0,2022,Watford
2207,4,2021-09-11,15:00,Premier League,Matchweek 4,Sat,Home,L,0,2,Wolves,0.2,2.2,45.0,20019.0,William Troost-Ekong,4-1-4-1,3-4-3,Peter Bankes,Match Report,,6.0,2.0,23.1,0.0,0,0,2022,Watford
2210,8,2021-10-02,15:00,Premier League,Matchweek 7,Sat,Away,L,0,1,Leeds United,0.2,1.3,34.0,36261.0,Ben Foster,4-2-3-1,4-1-4-1,Simon Hooper,Match Report,,5.0,1.0,19.4,0.0,0,0,2022,Watford
2211,9,2021-10-16,12:30,Premier League,Matchweek 8,Sat,Home,L,0,5,Liverpool,0.5,3.3,25.0,21085.0,Moussa Sissoko,5-4-1,4-3-3,Jonathan Moss,Match Report,,6.0,2.0,18.2,0.0,0,0,2022,Watford
2213,11,2021-10-30,15:00,Premier League,Matchweek 10,Sat,Home,L,0,1,Southampton,1.0,1.8,40.0,20869.0,Moussa Sissoko,4-4-1-1,4-4-2,Peter Bankes,Match Report,,10.0,3.0,20.2,1.0,0,0,2022,Watford
2214,12,2021-11-07,14:00,Premier League,Matchweek 11,Sun,Away,L,0,1,Arsenal,0.5,1.6,40.0,59833.0,Moussa Sissoko,4-1-4-1,4-4-1-1,Kevin Friend,Match Report,,7.0,1.0,19.7,0.0,0,0,2022,Watford
2216,14,2021-11-28,14:00,Premier League,Matchweek 13,Sun,Away,L,2,4,Leicester City,2.8,2.1,44.0,32020.0,Moussa Sissoko,4-1-4-1,4-2-3-1,Andy Madley,Match Report,,16.0,4.0,16.4,1.0,1,1,2022,Watford
2217,15,2021-12-01,19:30,Premier League,Matchweek 14,Wed,Home,L,1,2,Chelsea,1.0,0.9,51.0,20388.0,Moussa Sissoko,4-1-4-1,3-4-3,David Coote,Match Report,,14.0,6.0,21.4,2.0,0,0,2022,Watford
2218,16,2021-12-04,17:30,Premier League,Matchweek 15,Sat,Home,L,1,3,Manchester City,0.8,3.1,23.0,20673.0,Moussa Sissoko,4-1-4-1,4-3-3,Simon Hooper,Match Report,,11.0,4.0,19.6,1.0,0,0,2022,Watford
2219,17,2021-12-10,20:00,Premier League,Matchweek 16,Fri,Away,L,1,2,Brentford,0.5,1.6,37.0,16861.0,Moussa Sissoko,4-2-3-1,3-5-2,Michael Oliver,Match Report,,6.0,2.0,14.9,1.0,0,0,2022,Watford
2220,18,2021-12-28,15:00,Premier League,Matchweek 20,Tue,Home,L,1,4,West Ham,1.6,3.6,43.0,20073.0,Moussa Sissoko,4-1-4-1,4-2-3-1,Darren England,Match Report,,14.0,5.0,15.2,0.0,0,0,2022,Watford
2221,19,2022-01-01,15:00,Premier League,Matchweek 21,Sat,Home,L,0,1,Tottenham,0.3,2.2,26.0,20391.0,Moussa Sissoko,4-4-2,3-4-3,Robert Jones,Match Report,,6.0,4.0,19.0,1.0,0,0,2022,Watford
2223,22,2022-01-21,20:00,Premier League,Matchweek 23,Fri,Home,L,0,3,Norwich City,1.2,1.1,67.0,20782.0,Moussa Sissoko,4-3-3,4-4-2,Mike Dean,Match Report,,15.0,3.0,19.1,0.0,0,0,2022,Watford
2225,24,2022-02-08,19:45,Premier League,Matchweek 24,Tue,Away,L,0,1,West Ham,0.3,0.8,36.0,59581.0,Moussa Sissoko,4-4-2,4-2-3-1,Martin Atkinson,Match Report,,6.0,1.0,22.6,0.0,0,0,2022,Watford
2226,25,2022-02-12,15:00,Premier League,Matchweek 25,Sat,Home,L,0,2,Brighton,0.5,1.6,36.0,20795.0,Moussa Sissoko,4-4-2,3-1-4-2,Jonathan Moss,Match Report,,9.0,1.0,17.4,1.0,0,0,2022,Watford
2228,27,2022-02-23,19:30,Premier League,Matchweek 18,Wed,Home,L,1,4,Crystal Palace,1.4,1.1,46.0,20012.0,Moussa Sissoko,4-3-3,4-3-3,Andre Marriner,Match Report,,8.0,1.0,13.3,0.0,0,0,2022,Watford
2230,29,2022-03-06,14:00,Premier League,Matchweek 28,Sun,Home,L,2,3,Arsenal,1.0,1.0,44.0,21142.0,Moussa Sissoko,4-3-3,4-2-3-1,Craig Pawson,Match Report,,13.0,7.0,19.0,2.0,0,0,2022,Watford
2231,30,2022-03-10,19:30,Premier League,Matchweek 19,Thu,Away,L,0,4,Wolves,0.6,0.7,34.0,29658.0,Moussa Sissoko,4-3-3,3-4-3,Darren England,Match Report,,9.0,0.0,21.8,2.0,0,0,2022,Watford
2233,32,2022-04-02,12:30,Premier League,Matchweek 31,Sat,Away,L,0,2,Liverpool,0.6,2.2,27.0,53104.0,Moussa Sissoko,4-1-4-1,4-3-3,Stuart Attwell,Match Report,,5.0,2.0,15.3,0.0,0,0,2022,Watford
2234,33,2022-04-09,15:00,Premier League,Matchweek 32,Sat,Home,L,0,3,Leeds United,1.1,0.7,49.0,20957.0,Moussa Sissoko,4-3-3,4-2-3-1,Andre Marriner,Match Report,,8.0,1.0,26.0,1.0,0,0,2022,Watford
2235,34,2022-04-16,15:00,Premier League,Matchweek 33,Sat,Home,L,1,2,Brentford,1.7,1.9,50.0,21045.0,Moussa Sissoko,4-3-3,4-3-3,Simon Hooper,Match Report,,18.0,4.0,16.3,2.0,0,0,2022,Watford
2236,35,2022-04-23,15:00,Premier League,Matchweek 34,Sat,Away,L,1,5,Manchester City,0.5,3.6,27.0,53013.0,Moussa Sissoko,4-3-3,4-2-3-1,Kevin Friend,Match Report,,5.0,2.0,14.5,0.0,0,0,2022,Watford
2237,36,2022-04-30,15:00,Premier League,Matchweek 35,Sat,Home,L,1,2,Burnley,1.0,1.6,47.0,20738.0,Moussa Sissoko,4-3-3,4-4-2,Craig Pawson,Match Report,,13.0,1.0,15.5,1.0,0,0,2022,Watford
2238,37,2022-05-07,15:00,Premier League,Matchweek 36,Sat,Away,L,0,1,Crystal Palace,0.4,2.2,33.0,24622.0,Moussa Sissoko,4-3-3,4-3-3,Graham Scott,Match Report,,6.0,1.0,17.7,0.0,0,0,2022,Watford
2240,39,2022-05-15,14:00,Premier League,Matchweek 37,Sun,Home,L,1,5,Leicester City,1.4,2.5,41.0,20257.0,Moussa Sissoko,4-3-3,4-1-4-1,Jarred Gillett,Match Report,,13.0,5.0,12.4,0.0,0,0,2022,Watford
2241,40,2022-05-22,16:00,Premier League,Matchweek 38,Sun,Away,L,1,2,Chelsea,0.6,2.2,29.0,32089.0,Moussa Sissoko,4-3-3,3-4-3,Mike Dean,Match Report,,8.0,3.0,21.9,1.0,0,0,2022,Watford
