,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1824,0,2021-08-14,15:00,Premier League,Matchweek 1,Sat,Away,W,2,1,Burnley,1.0,1.5,63.0,16910.0,Lewis Dunk,4-1-4-1,4-4-2,David Coote,Match Report,,14.0,6.0,14.9,1.0,0,0,2022,Brighton and Hove Albion
1825,1,2021-08-21,17:30,Premier League,Matchweek 2,Sat,Home,W,2,0,Watford,1.3,0.5,56.0,29485.0,Lewis Dunk,4-4-1-1,4-1-4-1,Anthony Taylor,Match Report,,13.0,3.0,16.9,0.0,0,0,2022,Brighton and Hove Albion
1827,4,2021-09-11,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Brentford,0.3,0.4,59.0,16518.0,Lewis Dunk,3-4-1-2,3-5-2,Graham Scott,Match Report,,4.0,2.0,19.0,0.0,0,0,2022,Brighton and Hove Albion
1828,5,2021-09-19,14:00,Premier League,Matchweek 5,Sun,Home,W,2,1,Leicester City,1.7,1.6,37.0,31078.0,Lewis Dunk,4-4-2,4-3-3,Stuart Attwell,Match Report,,11.0,4.0,16.9,2.0,1,1,2022,Brighton and Hove Albion
1840,19,2021-12-26,20:00,Premier League,Matchweek 19,Sun,Home,W,2,0,Brentford,0.8,0.7,50.0,30141.0,Adam Lallana,4-1-2-1-2◆,3-5-2,Darren England,Match Report,,15.0,5.0,21.7,3.0,0,0,2022,Brighton and Hove Albion
1842,21,2022-01-02,14:00,Premier League,Matchweek 21,Sun,Away,W,3,2,Everton,1.7,1.6,50.0,38203.0,Adam Lallana,4-4-2,5-4-1,John Brooks,Match Report,,12.0,5.0,19.1,0.0,0,0,2022,Brighton and Hove Albion
1846,27,2022-02-12,15:00,Premier League,Matchweek 25,Sat,Away,W,2,0,Watford,1.6,0.5,64.0,20795.0,Lewis Dunk,3-1-4-2,4-4-2,Jonathan Moss,Match Report,,11.0,5.0,12.3,0.0,0,0,2022,Brighton and Hove Albion
1854,35,2022-04-09,15:00,Premier League,Matchweek 32,Sat,Away,W,2,1,Arsenal,0.6,1.9,36.0,60112.0,Lewis Dunk,3-5-2,4-2-3-1,David Coote,Match Report,,8.0,3.0,23.1,0.0,0,0,2022,Brighton and Hove Albion
1855,36,2022-04-16,12:30,Premier League,Matchweek 33,Sat,Away,W,1,0,Tottenham,0.6,0.5,51.0,58685.0,Lewis Dunk,3-5-2,3-4-3,Craig Pawson,Match Report,,12.0,4.0,17.0,0.0,0,0,2022,Brighton and Hove Albion
1858,39,2022-04-30,15:00,Premier League,Matchweek 35,Sat,Away,W,3,0,Wolves,2.6,0.7,51.0,31243.0,Lewis Dunk,3-4-3,3-5-2,Simon Hooper,Match Report,,15.0,8.0,21.4,0.0,1,2,2022,Brighton and Hove Albion
1859,40,2022-05-07,17:30,Premier League,Matchweek 36,Sat,Home,W,4,0,Manchester Utd,2.3,0.9,42.0,31637.0,Lewis Dunk,3-4-3,4-2-3-1,Andy Madley,Match Report,,17.0,5.0,15.9,0.0,0,0,2022,Brighton and Hove Albion
1861,42,2022-05-22,16:00,Premier League,Matchweek 38,Sun,Home,W,3,1,West Ham,1.6,0.2,50.0,31604.0,Lewis Dunk,4-3-2-1,4-2-3-1,Kevin Friend,Match Report,,18.0,7.0,16.4,0.0,0,0,2022,Brighton and Hove Albion
