,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1941,4,2021-09-11,12:30,Premier League,Matchweek 4,Sat,Home,W,3,0,Tottenham,2.1,0.1,62.0,26000.0,James McArthur,4-3-3,4-1-2-1-2,Jonathan Moss,Match Report,,17.0,3.0,17.5,1.0,1,1,2022,Crystal Palace
1947,10,2021-10-30,15:00,Premier League,Matchweek 10,Sat,Away,W,2,0,Manchester City,0.7,0.7,32.0,53014.0,James McArthur,4-3-3,4-3-3,Andre Marriner,Match Report,,8.0,3.0,15.3,0.0,0,0,2022,Crystal Palace
1948,11,2021-11-06,15:00,Premier League,Matchweek 11,Sat,Home,W,2,0,Wolves,1.9,0.3,60.0,24390.0,James McArthur,4-3-3,3-4-3,Graham Scott,Match Report,,13.0,6.0,13.2,0.0,0,0,2022,Crystal Palace
1953,16,2021-12-12,16:30,Premier League,Matchweek 16,Sun,Home,W,3,1,Everton,1.8,1.0,61.0,24066.0,Joel Ward,4-3-3,4-1-4-1,Andy Madley,Match Report,,17.0,6.0,16.8,1.0,0,0,2022,Crystal Palace
1956,19,2021-12-28,15:00,Premier League,Matchweek 20,Tue,Home,W,3,0,Norwich City,1.9,0.9,51.0,24433.0,Joel Ward,4-3-3,4-2-3-1,Paul Tierney,Match Report,,18.0,5.0,13.3,0.0,1,1,2022,Crystal Palace
1963,28,2022-02-23,19:30,Premier League,Matchweek 18,Wed,Away,W,4,1,Watford,1.1,1.4,54.0,20012.0,Marc Guéhi,4-3-3,4-3-3,Andre Marriner,Match Report,,7.0,5.0,15.1,0.0,0,0,2022,Crystal Palace
1965,31,2022-03-05,15:00,Premier League,Matchweek 28,Sat,Away,W,2,0,Wolves,2.7,0.7,37.0,31395.0,Marc Guéhi,4-2-3-1,3-4-3,Andy Madley,Match Report,,11.0,7.0,15.1,0.0,1,1,2022,Crystal Palace
1967,34,2022-04-04,20:00,Premier League,Matchweek 31,Mon,Home,W,3,0,Arsenal,1.5,0.8,32.0,25149.0,Marc Guéhi,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,5.0,4.0,21.0,1.0,1,1,2022,Crystal Palace
1971,39,2022-04-30,15:00,Premier League,Matchweek 35,Sat,Away,W,2,1,Southampton,1.1,0.6,62.0,31359.0,James McArthur,4-3-3,4-4-2,Jarred Gillett,Match Report,,14.0,5.0,13.9,0.0,0,0,2022,Crystal Palace
1972,40,2022-05-07,15:00,Premier League,Matchweek 36,Sat,Home,W,1,0,Watford,2.2,0.4,67.0,24622.0,Joel Ward,4-3-3,4-3-3,Graham Scott,Match Report,,14.0,6.0,15.8,1.0,1,1,2022,Crystal Palace
1975,43,2022-05-22,16:00,Premier League,Matchweek 38,Sun,Home,W,1,0,Manchester Utd,0.6,0.7,39.0,25434.0,Joel Ward,4-3-3,4-2-3-1,Martin Atkinson,Match Report,,6.0,3.0,14.1,0.0,0,0,2022,Crystal Palace
