,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2090,0,2021-08-14,15:00,Premier League,Matchweek 1,Sat,Home,W,3,1,Southampton,2.4,0.8,48.0,38487.0,Séamus Coleman,4-2-3-1,4-4-2,Andy Madley,Match Report,,14.0,6.0,12.5,1.0,0,0,2022,Everton
2092,3,2021-08-28,15:00,Premier League,Matchweek 3,Sat,Away,W,2,0,Brighton,1.4,0.7,35.0,30548.0,Séamus Coleman,4-4-1-1,3-4-3,Jonathan Moss,Match Report,,13.0,4.0,21.2,0.0,1,1,2022,Everton
2093,4,2021-09-13,20:00,Premier League,Matchweek 4,Mon,Home,W,3,1,Burnley,1.4,1.0,52.0,30000.0,Séamus Coleman,3-4-3,4-4-2,Martin Atkinson,Match Report,,14.0,6.0,19.5,1.0,0,0,2022,Everton
2095,7,2021-09-25,15:00,Premier League,Matchweek 6,Sat,Home,W,2,0,Norwich City,1.9,0.5,47.0,38821.0,Lucas Digne,4-4-1-1,5-3-2,David Coote,Match Report,,10.0,3.0,18.8,0.0,1,1,2022,Everton
2104,16,2021-12-06,20:00,Premier League,Matchweek 15,Mon,Home,W,2,1,Arsenal,0.9,1.0,37.0,38906.0,Séamus Coleman,4-4-1-1,4-2-3-1,Mike Dean,Match Report,,11.0,5.0,17.1,0.0,0,0,2022,Everton
2111,25,2022-02-12,15:00,Premier League,Matchweek 25,Sat,Home,W,3,0,Leeds United,2.7,0.3,42.0,39150.0,Séamus Coleman,4-4-2,3-3-3-1,Graham Scott,Match Report,,21.0,10.0,18.2,0.0,0,0,2022,Everton
2116,31,2022-03-17,19:45,Premier League,Matchweek 20,Thu,Home,W,1,0,Newcastle Utd,0.7,0.9,39.0,39068.0,Séamus Coleman,4-2-3-1,4-3-3,Craig Pawson,Match Report,,9.0,3.0,17.2,1.0,0,0,2022,Everton
2119,35,2022-04-09,12:30,Premier League,Matchweek 32,Sat,Home,W,1,0,Manchester Utd,0.4,0.8,33.0,39080.0,Séamus Coleman,4-3-3,4-2-3-1,Jonathan Moss,Match Report,,7.0,3.0,18.3,0.0,0,0,2022,Everton
2122,38,2022-05-01,14:00,Premier League,Matchweek 35,Sun,Home,W,1,0,Chelsea,0.8,0.8,23.0,39256.0,Séamus Coleman,5-4-1,3-4-1-2,Kevin Friend,Match Report,,9.0,4.0,17.8,1.0,0,0,2022,Everton
2123,39,2022-05-08,14:00,Premier League,Matchweek 36,Sun,Away,W,2,1,Leicester City,1.1,1.5,34.0,32001.0,Séamus Coleman,5-4-1,3-1-4-2,Craig Pawson,Match Report,,10.0,4.0,13.8,0.0,0,0,2022,Everton
2126,42,2022-05-19,19:45,Premier League,Matchweek 33,Thu,Home,W,3,2,Crystal Palace,0.8,1.1,43.0,38448.0,Séamus Coleman,3-4-3,4-3-3,Anthony Taylor,Match Report,,12.0,6.0,18.5,1.0,0,0,2022,Everton
