,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1786,1,2021-08-14,15:00,Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,0.5,1.3,56.0,31983.0,Kasper Schmeichel,4-2-3-1,3-4-3,Craig Pawson,Match Report,,9.0,5.0,17.1,0.0,0,0,2022,Leicester City
1788,3,2021-08-28,15:00,Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,1.5,1.5,55.0,26765.0,Kasper Schmeichel,4-4-2,4-3-3,Robert Jones,Match Report,,9.0,3.0,16.0,0.0,0,0,2022,Leicester City
1793,11,2021-10-16,15:00,Premier League,Matchweek 8,Sat,Home,W,4,2,Manchester Utd,2.4,1.2,49.0,32219.0,Kasper Schmeichel,3-4-1-2,4-2-3-1,Craig Pawson,Match Report,,22.0,11.0,18.4,1.0,0,0,2022,Leicester City
1794,13,2021-10-24,14:00,Premier League,Matchweek 9,Sun,Away,W,2,1,Brentford,1.5,1.0,46.0,16814.0,Kasper Schmeichel,3-4-1-2,3-5-2,Simon Hooper,Match Report,,10.0,6.0,21.9,0.0,0,0,2022,Leicester City
1798,20,2021-11-28,14:00,Premier League,Matchweek 13,Sun,Home,W,4,2,Watford,2.1,2.8,56.0,32020.0,Kasper Schmeichel,4-2-3-1,4-1-4-1,Andy Madley,Match Report,,18.0,8.0,14.6,0.0,0,0,2022,Leicester City
1801,24,2021-12-12,14:00,Premier League,Matchweek 16,Sun,Home,W,4,0,Newcastle Utd,2.6,1.0,47.0,31959.0,Kasper Schmeichel,4-2-3-1,4-4-2,Peter Bankes,Match Report,,7.0,4.0,19.1,1.0,1,1,2022,Leicester City
1803,27,2021-12-28,20:00,Premier League,Matchweek 20,Tue,Home,W,1,0,Liverpool,0.4,2.3,37.0,32230.0,Kasper Schmeichel,4-3-1-2,4-3-3,Michael Oliver,Match Report,,6.0,1.0,14.9,0.0,0,0,2022,Leicester City
1809,37,2022-03-01,19:45,Premier League,Matchweek 22,Tue,Away,W,2,0,Burnley,1.5,0.9,55.0,17825.0,Kasper Schmeichel,4-3-3,4-4-2,Chris Kavanagh,Match Report,,22.0,6.0,17.7,1.0,0,0,2022,Leicester City
1810,38,2022-03-05,12:30,Premier League,Matchweek 28,Sat,Home,W,1,0,Leeds United,0.4,1.7,51.0,32236.0,Kasper Schmeichel,4-3-3,4-2-3-1,David Coote,Match Report,,7.0,4.0,19.1,0.0,0,0,2022,Leicester City
1812,42,2022-03-20,14:00,Premier League,Matchweek 30,Sun,Home,W,2,1,Brentford,1.0,1.3,52.0,31830.0,Kasper Schmeichel,4-2-3-1,4-5-1,Darren England,Match Report,,12.0,4.0,19.2,1.0,0,0,2022,Leicester City
1814,45,2022-04-10,14:00,Premier League,Matchweek 32,Sun,Home,W,2,1,Crystal Palace,1.0,1.4,51.0,31896.0,Kasper Schmeichel,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,12.0,3.0,21.1,2.0,0,0,2022,Leicester City
1820,54,2022-05-11,19:45,Premier League,Matchweek 21,Wed,Home,W,3,0,Norwich City,2.0,1.1,65.0,38092.0,Kasper Schmeichel,4-2-3-1,4-1-4-1,Simon Hooper,Match Report,,20.0,8.0,18.5,0.0,0,0,2022,Leicester City
1821,55,2022-05-15,14:00,Premier League,Matchweek 37,Sun,Away,W,5,1,Watford,2.5,1.4,59.0,20257.0,Jonny Evans,4-1-4-1,4-3-3,Jarred Gillett,Match Report,,13.0,7.0,16.4,0.0,0,0,2022,Leicester City
1823,57,2022-05-22,16:00,Premier League,Matchweek 38,Sun,Home,W,4,1,Southampton,3.4,1.1,51.0,32003.0,Kasper Schmeichel,4-2-3-1,4-4-2,Jonathan Moss,Match Report,,12.0,6.0,12.8,0.0,0,0,2022,Leicester City
