,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1914,15,2021-12-04,15:00,Premier League,Matchweek 15,Sat,Home,W,1,0,Burnley,1.0,0.6,48.0,51948.0,Jamaal Lascelles,4-4-2,4-4-2,Paul Tierney,Match Report,,19.0,4.0,17.9,0.0,0,0,2022,Newcastle United
1920,22,2022-01-22,15:00,Premier League,Matchweek 23,Sat,Away,W,1,0,Leeds United,0.9,0.7,38.0,36405.0,Jamaal Lascelles,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,15.0,3.0,19.7,1.0,0,0,2022,Newcastle United
1921,23,2022-02-08,19:45,Premier League,Matchweek 24,Tue,Home,W,3,1,Everton,1.9,0.7,40.0,52186.0,Jamaal Lascelles,4-3-3,3-4-3,Anthony Taylor,Match Report,,20.0,9.0,14.0,1.0,0,0,2022,Newcastle United
1922,24,2022-02-13,14:00,Premier League,Matchweek 25,Sun,Home,W,1,0,Aston Villa,0.5,0.6,38.0,52207.0,Kieran Trippier,4-3-3,4-3-3,Craig Pawson,Match Report,,10.0,2.0,21.5,1.0,0,0,2022,Newcastle United
1924,26,2022-02-26,15:00,Premier League,Matchweek 27,Sat,Away,W,2,0,Brentford,2.7,0.4,63.0,17039.0,Jonjo Shelvey,4-3-3,4-3-3,Mike Dean,Match Report,,26.0,11.0,15.7,2.0,0,0,2022,Newcastle United
1925,27,2022-03-05,15:00,Premier League,Matchweek 28,Sat,Home,W,2,1,Brighton,1.7,1.5,32.0,52214.0,Jonjo Shelvey,4-3-3,4-1-2-1-2,Martin Atkinson,Match Report,,10.0,4.0,12.2,0.0,0,0,2022,Newcastle United
1926,28,2022-03-10,19:30,Premier League,Matchweek 21,Thu,Away,W,2,1,Southampton,0.6,1.1,33.0,30056.0,Jonjo Shelvey,4-3-3,4-4-2,Kevin Friend,Match Report,,8.0,3.0,16.4,0.0,0,0,2022,Newcastle United
1930,32,2022-04-08,20:00,Premier League,Matchweek 32,Fri,Home,W,1,0,Wolves,1.5,0.4,42.0,52164.0,Jonjo Shelvey,4-3-3,3-4-3,Peter Bankes,Match Report,,11.0,3.0,19.7,1.0,1,1,2022,Newcastle United
1931,33,2022-04-17,14:15,Premier League,Matchweek 33,Sun,Home,W,2,1,Leicester City,1.8,0.6,32.0,52104.0,Jonjo Shelvey,4-3-3,4-1-4-1,Jarred Gillett,Match Report,,16.0,7.0,15.4,1.0,0,0,2022,Newcastle United
1932,34,2022-04-20,19:45,Premier League,Matchweek 30,Wed,Home,W,1,0,Crystal Palace,0.9,0.5,37.0,51938.0,Jonjo Shelvey,4-3-3,4-2-3-1,Tony Harrington,Match Report,,13.0,4.0,18.1,0.0,0,0,2022,Newcastle United
1933,35,2022-04-23,15:00,Premier League,Matchweek 34,Sat,Away,W,3,0,Norwich City,1.9,0.6,54.0,26910.0,Jamaal Lascelles,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,13.0,7.0,15.6,0.0,0,0,2022,Newcastle United
1936,38,2022-05-16,20:00,Premier League,Matchweek 37,Mon,Home,W,2,0,Arsenal,1.6,0.6,51.0,52274.0,Callum Wilson,4-3-3,4-2-3-1,Darren England,Match Report,,16.0,4.0,19.1,0.0,0,0,2022,Newcastle United
1937,39,2022-05-22,16:00,Premier League,Matchweek 38,Sun,Away,W,2,1,Burnley,1.8,1.6,48.0,21361.0,Jamaal Lascelles,4-3-3,4-4-2,Craig Pawson,Match Report,,7.0,5.0,23.0,0.0,1,1,2022,Newcastle United
