,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1748,0,2021-08-15,14:00,Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,2.7,1.8,54.0,50673.0,Declan Rice,4-2-3-1,5-3-2,Martin Atkinson,Match Report,,17.0,7.0,17.1,1.0,0,1,2022,West Ham United
1749,1,2021-08-23,20:00,Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,2.3,0.6,52.0,59901.0,Declan Rice,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,19.0,7.0,13.9,0.0,0,0,2022,West Ham United
1753,7,2021-09-25,15:00,Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,1.6,1.2,47.0,36417.0,Declan Rice,4-2-3-1,4-1-4-1,Kevin Friend,Match Report,,20.0,6.0,18.2,2.0,0,0,2022,West Ham United
1755,10,2021-10-17,14:00,Premier League,Matchweek 8,Sun,Away,W,1,0,Everton,1.2,0.9,61.0,39132.0,Declan Rice,4-2-3-1,4-4-1-1,Stuart Attwell,Match Report,,16.0,4.0,16.5,0.0,0,0,2022,West Ham United
1756,12,2021-10-24,14:00,Premier League,Matchweek 9,Sun,Home,W,1,0,Tottenham,1.3,0.7,38.0,59924.0,Declan Rice,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,13.0,4.0,14.8,0.0,0,0,2022,West Ham United
1757,14,2021-10-31,16:30,Premier League,Matchweek 10,Sun,Away,W,4,1,Aston Villa,2.3,0.7,57.0,41874.0,Declan Rice,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,,21.0,8.0,16.5,3.0,0,0,2022,West Ham United
1758,16,2021-11-07,16:30,Premier League,Matchweek 11,Sun,Home,W,3,2,Liverpool,1.0,1.2,31.0,59909.0,Declan Rice,4-2-3-1,4-3-3,Craig Pawson,Match Report,,7.0,3.0,14.5,0.0,0,0,2022,West Ham United
1762,21,2021-12-04,12:30,Premier League,Matchweek 15,Sat,Home,W,3,2,Chelsea,1.8,1.1,37.0,59942.0,Declan Rice,3-4-3,3-4-3,Andre Marriner,Match Report,,10.0,3.0,20.1,0.0,1,1,2022,West Ham United
1766,27,2021-12-28,15:00,Premier League,Matchweek 20,Tue,Away,W,4,1,Watford,3.6,1.6,57.0,20073.0,Mark Noble,4-2-3-1,4-1-4-1,Darren England,Match Report,,12.0,5.0,16.0,0.0,1,1,2022,West Ham United
1767,28,2022-01-01,17:30,Premier League,Matchweek 21,Sat,Away,W,3,2,Crystal Palace,2.2,2.4,38.0,24351.0,Declan Rice,4-2-3-1,4-3-3,Darren England,Match Report,,9.0,4.0,14.5,0.0,1,1,2022,West Ham United
1768,30,2022-01-12,19:45,Premier League,Matchweek 18,Wed,Home,W,2,0,Norwich City,2.5,0.3,62.0,59775.0,Declan Rice,4-2-3-1,4-2-3-1,Simon Hooper,Match Report,,13.0,5.0,15.1,0.0,0,0,2022,West Ham United
1771,34,2022-02-08,19:45,Premier League,Matchweek 24,Tue,Home,W,1,0,Watford,0.8,0.3,64.0,59581.0,Declan Rice,4-2-3-1,4-4-2,Martin Atkinson,Match Report,,9.0,2.0,13.2,0.0,0,0,2022,West Ham United
1774,37,2022-02-27,14:00,Premier League,Matchweek 27,Sun,Home,W,1,0,Wolves,1.8,0.7,39.0,59946.0,Declan Rice,3-4-3,3-4-3,Anthony Taylor,Match Report,,13.0,4.0,16.7,1.0,0,0,2022,West Ham United
1776,41,2022-03-13,14:00,Premier League,Matchweek 29,Sun,Home,W,2,1,Aston Villa,1.2,1.1,47.0,59957.0,Declan Rice,4-2-3-1,4-1-2-1-2,Jarred Gillett,Match Report,,11.0,4.0,16.3,0.0,0,0,2022,West Ham United
1778,44,2022-04-03,14:00,Premier League,Matchweek 31,Sun,Home,W,2,1,Everton,1.2,0.7,55.0,59953.0,Declan Rice,4-2-3-1,4-3-3,Michael Oliver,Match Report,,11.0,5.0,19.9,2.0,0,0,2022,West Ham United
1783,53,2022-05-08,14:00,Premier League,Matchweek 36,Sun,Away,W,4,0,Norwich City,3.0,0.8,63.0,26428.0,Declan Rice,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,12.0,4.0,14.4,0.0,1,1,2022,West Ham United
