,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1064,0,2022-08-07,14:00,Premier League,Matchweek 1,Sun,Away,D,2,2,Leicester City,0.8,0.6,44.0,31794.0,Pontus Jansson,4-3-3,3-5-1-1,Jarred Gillett,Match Report,,8.0,3.0,17.0,0.0,0,0,2023,Brentford
1067,4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,D,1,1,Everton,2.1,1.1,58.0,17009.0,Christian Nørgaard,4-3-3,3-4-3,John Brooks,Match Report,,20.0,5.0,14.8,0.0,0,0,2023,Brentford
1068,5,2022-08-30,19:30,Premier League,Matchweek 5,Tue,Away,D,1,1,Crystal Palace,1.4,1.0,51.0,25043.0,Ivan Toney,4-3-3,4-1-4-1,Simon Hooper,Match Report,,9.0,3.0,10.7,0.0,0,0,2023,Brentford
1071,8,2022-10-01,15:00,Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.9,0.4,58.0,10126.0,Pontus Jansson,4-3-3,4-4-2,Thomas Bramall,Match Report,,13.0,4.0,15.2,1.0,0,0,2023,Brentford
1074,11,2022-10-19,19:30,Premier League,Matchweek 12,Wed,Home,D,0,0,Chelsea,1.3,0.9,34.0,17118.0,Ivan Toney,3-5-2,3-5-1-1,Jarred Gillett,Match Report,,8.0,5.0,14.5,0.0,0,0,2023,Brentford
1076,13,2022-10-29,15:00,Premier League,Matchweek 14,Sat,Home,D,1,1,Wolves,1.4,0.6,58.0,17051.0,Ivan Toney,4-3-3,4-2-3-1,Robert Madley,Match Report,,12.0,3.0,15.4,0.0,0,0,2023,Brentford
1077,14,2022-11-05,15:00,Premier League,Matchweek 15,Sat,Away,D,2,2,Nott'ham Forest,1.5,1.5,52.0,28869.0,David Raya,4-3-3,4-3-1-2,Andre Marriner,Match Report,,5.0,1.0,20.3,0.0,1,1,2023,Brentford
1079,17,2022-12-26,12:30,Premier League,Matchweek 17,Mon,Home,D,2,2,Tottenham,2.0,1.1,39.0,17137.0,Christian Nørgaard,3-5-2,3-4-3,David Coote,Match Report,,9.0,4.0,10.2,0.0,0,0,2023,Brentford
1083,22,2023-01-22,14:00,Premier League,Matchweek 21,Sun,Away,D,0,0,Leeds United,0.4,0.5,42.0,36260.0,Christian Nørgaard,3-5-2,4-2-3-1,Peter Bankes,Match Report,,6.0,0.0,24.2,1.0,0,0,2023,Brentford
1085,24,2023-02-11,15:00,Premier League,Matchweek 23,Sat,Away,D,1,1,Arsenal,2.0,1.6,31.0,60254.0,Christian Nørgaard,3-5-2,4-3-3,Peter Bankes,Match Report,,9.0,2.0,12.9,0.0,0,0,2023,Brentford
1086,25,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Home,D,1,1,Crystal Palace,0.9,1.1,59.0,17122.0,Christian Nørgaard,4-3-3,4-2-3-1,Paul Tierney,Match Report,,12.0,5.0,19.0,0.0,0,0,2023,Brentford
1090,29,2023-03-18,15:00,Premier League,Matchweek 28,Sat,Home,D,1,1,Leicester City,0.6,1.3,53.0,17006.0,Christian Nørgaard,4-3-3,4-2-3-1,Darren Bond,Match Report,,11.0,2.0,17.5,0.0,0,0,2023,Brentford
1091,30,2023-04-01,15:00,Premier League,Matchweek 29,Sat,Away,D,3,3,Brighton,1.6,4.2,28.0,31493.0,Pontus Jansson,5-3-2,4-2-3-1,Michael Oliver,Match Report,,7.0,5.0,15.6,1.0,0,0,2023,Brentford
1095,34,2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,D,1,1,Aston Villa,2.7,1.5,44.0,17098.0,Christian Nørgaard,4-3-3,4-2-3-1,Michael Salisbury,Match Report,,16.0,5.0,16.0,1.0,0,0,2023,Brentford
