,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1179,1,2022-08-14,16:30,Premier League,Matchweek 2,Sun,Home,D,2,2,Tottenham,1.6,1.0,63.0,39946.0,Jorginho,3-5-2,3-4-3,Anthony Taylor,Match Report,,16.0,3.0,17.2,0.0,0,0,2023,Chelsea
1187,13,2022-10-19,19:30,Premier League,Matchweek 12,Wed,Away,D,0,0,Brentford,0.9,1.3,66.0,17118.0,César Azpilicueta,3-5-1-1,3-5-2,Jarred Gillett,Match Report,,14.0,5.0,21.4,0.0,0,0,2023,Chelsea
1188,14,2022-10-22,17:30,Premier League,Matchweek 13,Sat,Home,D,1,1,Manchester Utd,1.1,0.8,48.0,39503.0,César Azpilicueta,3-4-3,4-1-4-1,Stuart Attwell,Match Report,,5.0,1.0,19.7,0.0,1,1,2023,Chelsea
1193,22,2023-01-01,16:30,Premier League,Matchweek 18,Sun,Away,D,1,1,Nott'ham Forest,0.9,1.4,71.0,29229.0,César Azpilicueta,4-3-3,4-3-3,Peter Bankes,Match Report,,7.0,2.0,11.6,0.0,0,0,2023,Chelsea
1197,27,2023-01-21,12:30,Premier League,Matchweek 21,Sat,Away,D,0,0,Liverpool,1.6,1.4,52.0,53126.0,Jorginho,3-4-3,4-3-3,Michael Oliver,Match Report,,11.0,2.0,13.8,0.0,0,0,2023,Chelsea
1198,28,2023-02-03,20:00,Premier League,Matchweek 22,Fri,Home,D,0,0,Fulham,1.3,0.6,66.0,40041.0,Thiago Silva,4-3-3,4-2-3-1,Stuart Attwell,Match Report,,12.0,2.0,17.0,0.0,0,0,2023,Chelsea
1199,29,2023-02-11,12:30,Premier League,Matchweek 23,Sat,Away,D,1,1,West Ham,1.1,1.3,71.0,62471.0,Thiago Silva,4-2-3-1,3-4-3,Craig Pawson,Match Report,,12.0,4.0,18.0,2.0,0,0,2023,Chelsea
1204,36,2023-03-18,17:30,Premier League,Matchweek 28,Sat,Home,D,2,2,Everton,2.3,1.2,68.0,40025.0,Mateo Kovačić,3-4-3,4-5-1,Darren England,Match Report,,19.0,6.0,17.1,0.0,1,1,2023,Chelsea
1206,38,2023-04-04,20:00,Premier League,Matchweek 8,Tue,Home,D,0,0,Liverpool,2.2,0.3,49.0,40093.0,N'Golo Kanté,3-5-2,4-3-3,Anthony Taylor,Match Report,,12.0,2.0,16.1,0.0,0,0,2023,Chelsea
1212,46,2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,D,2,2,Nott'ham Forest,1.2,1.3,75.0,40030.0,Thiago Silva,4-3-3,3-4-3,Paul Tierney,Match Report,,14.0,6.0,17.4,1.0,0,0,2023,Chelsea
1215,49,2023-05-28,16:30,Premier League,Matchweek 38,Sun,Home,D,1,1,Newcastle Utd,2.2,1.7,64.0,40130.0,César Azpilicueta,4-2-3-1,4-3-3,Jarred Gillett,Match Report,,22.0,4.0,17.8,1.0,0,0,2023,Chelsea
