,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1141,1,2022-08-15,20:00,Premier League,Matchweek 2,Mon,Away,D,1,1,Liverpool,1.0,2.0,28.0,52970.0,Joel Ward,5-4-1,4-3-3,Paul Tierney,Match Report,,7.0,3.0,14.7,0.0,0,0,2023,Crystal Palace
1144,5,2022-08-30,19:30,Premier League,Matchweek 5,Tue,Home,D,1,1,Brentford,1.0,1.4,49.0,25043.0,Joel Ward,4-1-4-1,4-3-3,Simon Hooper,Match Report,,13.0,4.0,19.2,0.0,0,0,2023,Crystal Palace
1145,6,2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,1.0,2.8,48.0,51863.0,Joel Ward,4-3-3,4-3-3,Michael Salisbury,Match Report,,19.0,9.0,20.0,0.0,0,0,2023,Crystal Palace
1148,9,2022-10-15,12:30,Premier League,Matchweek 11,Sat,Away,D,0,0,Leicester City,0.4,1.0,46.0,31298.0,Joel Ward,4-3-3,4-1-4-1,Andy Madley,Match Report,,8.0,1.0,21.2,0.0,0,0,2023,Crystal Palace
1158,21,2023-01-18,20:00,Premier League,Matchweek 7,Wed,Home,D,1,1,Manchester Utd,0.5,2.1,40.0,23343.0,Marc Guéhi,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,10.0,5.0,18.2,2.0,0,0,2023,Crystal Palace
1159,22,2023-01-21,17:30,Premier League,Matchweek 21,Sat,Home,D,0,0,Newcastle Utd,0.3,1.2,40.0,25350.0,Joel Ward,4-2-3-1,4-3-3,Craig Pawson,Match Report,,6.0,1.0,19.9,0.0,0,0,2023,Crystal Palace
1161,24,2023-02-11,15:00,Premier League,Matchweek 23,Sat,Home,D,1,1,Brighton,1.1,2.5,27.0,24827.0,Marc Guéhi,4-4-2,4-2-3-1,Michael Oliver,Match Report,,6.0,1.0,12.4,0.0,0,0,2023,Crystal Palace
1162,25,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,D,1,1,Brentford,1.1,0.9,41.0,17122.0,Marc Guéhi,4-2-3-1,4-3-3,Paul Tierney,Match Report,,10.0,4.0,14.4,0.0,0,0,2023,Crystal Palace
1163,26,2023-02-25,19:45,Premier League,Matchweek 25,Sat,Home,D,0,0,Liverpool,0.7,0.9,37.0,25842.0,Marc Guéhi,4-2-3-1,4-3-3,Darren England,Match Report,,6.0,0.0,15.0,0.0,0,0,2023,Crystal Palace
1171,34,2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,D,0,0,Everton,0.5,0.4,56.0,25202.0,Joel Ward,4-3-3,4-2-3-1,John Brooks,Match Report,,12.0,2.0,19.8,0.0,0,0,2023,Crystal Palace
1176,39,2023-05-20,15:00,Premier League,Matchweek 37,Sat,Away,D,2,2,Fulham,1.6,1.7,51.0,24356.0,Joel Ward,4-2-3-1,4-2-3-1,Joshua Smith,Match Report,,11.0,5.0,16.9,1.0,0,0,2023,Crystal Palace
1177,40,2023-05-28,16:30,Premier League,Matchweek 38,Sun,Home,D,1,1,Nott'ham Forest,1.4,0.5,66.0,25198.0,Joel Ward,4-2-3-1,3-4-3,Thomas Bramall,Match Report,,15.0,3.0,17.3,1.0,0,0,2023,Crystal Palace
