,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1445,1,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Away,D,2,2,Southampton,1.8,1.2,57.0,30815.0,Patrick Bamford,4-2-3-1,3-4-3,Tony Harrington,Match Report,,13.0,5.0,12.0,0.0,0,0,2023,Leeds United
1448,5,2022-08-30,20:00,Premier League,Matchweek 5,Tue,Home,D,1,1,Everton,1.0,1.0,69.0,36338.0,Rodrigo,4-2-3-1,4-3-3,Darren England,Match Report,,14.0,5.0,16.9,0.0,0,0,2023,Leeds United
1450,7,2022-10-02,16:30,Premier League,Matchweek 9,Sun,Home,D,0,0,Aston Villa,0.4,2.2,44.0,36582.0,Liam Cooper,4-2-3-1,4-3-3,Stuart Attwell,Match Report,,6.0,1.0,16.8,0.0,0,0,2023,Leeds United
1459,17,2022-12-31,15:00,Premier League,Matchweek 18,Sat,Away,D,0,0,Newcastle Utd,0.4,2.2,40.0,52211.0,Liam Cooper,4-2-3-1,4-3-3,Simon Hooper,Match Report,,8.0,1.0,17.9,1.0,0,0,2023,Leeds United
1460,18,2023-01-04,19:45,Premier League,Matchweek 19,Wed,Home,D,2,2,West Ham,1.6,1.4,62.0,36173.0,Liam Cooper,4-2-3-1,4-3-3,David Coote,Match Report,,14.0,5.0,14.0,0.0,0,0,2023,Leeds United
1462,22,2023-01-22,14:00,Premier League,Matchweek 21,Sun,Home,D,0,0,Brentford,0.5,0.4,58.0,36260.0,Luke Ayling,4-2-3-1,3-5-2,Peter Bankes,Match Report,,9.0,5.0,23.2,1.0,0,0,2023,Leeds United
1464,25,2023-02-08,20:00,Premier League,Matchweek 8,Wed,Away,D,2,2,Manchester Utd,0.6,2.0,34.0,73456.0,Luke Ayling,4-2-3-1,4-2-3-1,Simon Hooper,Match Report,,8.0,2.0,18.4,1.0,0,0,2023,Leeds United
1469,31,2023-03-11,15:00,Premier League,Matchweek 27,Sat,Home,D,2,2,Brighton,0.9,2.7,38.0,36471.0,Luke Ayling,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,12.0,4.0,19.7,0.0,0,0,2023,Leeds United
1476,38,2023-04-25,20:00,Premier League,Matchweek 33,Tue,Home,D,1,1,Leicester City,1.5,2.1,41.0,36666.0,Liam Cooper,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,13.0,3.0,14.9,0.0,0,0,2023,Leeds United
1479,41,2023-05-13,12:30,Premier League,Matchweek 36,Sat,Home,D,2,2,Newcastle Utd,2.0,2.3,36.0,36955.0,Luke Ayling,4-3-3,4-3-3,Simon Hooper,Match Report,,8.0,3.0,14.9,0.0,0,1,2023,Leeds United
