,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
912,1,2022-08-06,12:30,Premier League,Matchweek 1,Sat,Away,D,2,2,Fulham,1.2,1.2,67.0,22207.0,Jordan Henderson,4-3-3,4-2-3-1,Andy Madley,Match Report,,11.0,3.0,12.4,0.0,0,0,2023,Liverpool
913,2,2022-08-15,20:00,Premier League,Matchweek 2,Mon,Home,D,1,1,Crystal Palace,2.0,1.0,72.0,52970.0,James Milner,4-3-3,5-4-1,Paul Tierney,Match Report,,24.0,4.0,17.4,0.0,0,0,2023,Liverpool
917,6,2022-09-03,12:30,Premier League,Matchweek 6,Sat,Away,D,0,0,Everton,2.1,1.7,61.0,39240.0,Virgil van Dijk,4-3-3,4-3-3,Anthony Taylor,Match Report,,23.0,8.0,13.1,0.0,0,0,2023,Liverpool
918,9,2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,D,3,3,Brighton,1.5,1.4,54.0,53320.0,Jordan Henderson,4-3-3,3-4-3,Andy Madley,Match Report,,15.0,7.0,16.8,1.0,0,0,2023,Liverpool
930,29,2023-01-21,12:30,Premier League,Matchweek 21,Sat,Home,D,0,0,Chelsea,1.4,1.6,48.0,53126.0,James Milner,4-3-3,3-4-3,Michael Oliver,Match Report,,15.0,3.0,15.5,0.0,0,0,2023,Liverpool
934,35,2023-02-25,19:45,Premier League,Matchweek 25,Sat,Away,D,0,0,Crystal Palace,0.9,0.7,63.0,25842.0,Jordan Henderson,4-3-3,4-2-3-1,Darren England,Match Report,,12.0,4.0,16.0,1.0,0,0,2023,Liverpool
939,41,2023-04-04,20:00,Premier League,Matchweek 8,Tue,Away,D,0,0,Chelsea,0.3,2.2,51.0,40093.0,Jordan Henderson,4-3-3,3-5-2,Anthony Taylor,Match Report,,7.0,3.0,25.4,0.0,0,0,2023,Liverpool
940,42,2023-04-09,16:30,Premier League,Matchweek 30,Sun,Home,D,2,2,Arsenal,3.9,1.4,59.0,53267.0,Jordan Henderson,4-3-3,4-3-3,Paul Tierney,Match Report,,20.0,6.0,14.0,0.0,0,1,2023,Liverpool
948,50,2023-05-20,15:00,Premier League,Matchweek 37,Sat,Home,D,1,1,Aston Villa,0.7,1.3,66.0,53306.0,Jordan Henderson,4-3-3,4-2-3-1,John Brooks,Match Report,,10.0,5.0,18.2,0.0,0,0,2023,Liverpool
949,51,2023-05-28,16:30,Premier League,Matchweek 38,Sun,Away,D,4,4,Southampton,4.0,1.8,69.0,31129.0,James Milner,4-3-3,4-2-3-1,Darren England,Match Report,,30.0,8.0,18.5,0.0,0,0,2023,Liverpool
