,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1293,1,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Away,L,0,4,Manchester City,0.1,1.7,33.0,53453.0,Lloyd Kelly,3-4-3,4-2-3-1,David Coote,Match Report,,3.0,1.0,20.6,0.0,0,0,2023,Bournemouth
1294,2,2022-08-20,17:30,Premier League,Matchweek 3,Sat,Home,L,0,3,Arsenal,0.3,1.3,43.0,10423.0,Lloyd Kelly,3-1-4-2,4-3-3,Craig Pawson,Match Report,,6.0,1.0,18.5,1.0,0,0,2023,Bournemouth
1295,4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Away,L,0,9,Liverpool,0.3,3.3,31.0,53328.0,Adam Smith,4-2-3-1,4-3-3,Stuart Attwell,Match Report,,5.0,2.0,18.2,0.0,0,0,2023,Bournemouth
1302,11,2022-10-19,19:30,Premier League,Matchweek 12,Wed,Home,L,0,1,Southampton,1.0,1.0,54.0,10405.0,Adam Smith,3-4-3,4-4-2,John Brooks,Match Report,,15.0,3.0,17.6,1.0,0,0,2023,Bournemouth
1303,12,2022-10-24,20:00,Premier League,Matchweek 13,Mon,Away,L,0,2,West Ham,0.4,1.9,45.0,62447.0,Adam Smith,4-2-3-1,4-2-3-1,David Coote,Match Report,,5.0,3.0,13.6,0.0,0,0,2023,Bournemouth
1304,13,2022-10-29,15:00,Premier League,Matchweek 14,Sat,Home,L,2,3,Tottenham,0.5,2.0,31.0,10430.0,Adam Smith,3-5-1-1,3-5-2,Anthony Taylor,Match Report,,6.0,4.0,14.0,0.0,0,0,2023,Bournemouth
1305,14,2022-11-05,15:00,Premier League,Matchweek 15,Sat,Away,L,3,4,Leeds United,1.5,2.2,40.0,36304.0,Adam Smith,4-4-2,4-2-3-1,Tony Harrington,Match Report,,9.0,5.0,12.4,0.0,0,0,2023,Bournemouth
1307,18,2022-12-27,17:30,Premier League,Matchweek 17,Tue,Away,L,0,2,Chelsea,0.5,1.8,40.0,40046.0,Lloyd Kelly,5-3-2,4-3-3,Simon Hooper,Match Report,,9.0,4.0,21.0,2.0,0,0,2023,Bournemouth
1308,19,2022-12-31,15:00,Premier League,Matchweek 18,Sat,Home,L,0,2,Crystal Palace,0.6,1.6,59.0,9972.0,Lloyd Kelly,4-4-2,4-2-3-1,Andre Marriner,Match Report,,6.0,2.0,14.8,0.0,0,0,2023,Bournemouth
1309,20,2023-01-03,20:00,Premier League,Matchweek 19,Tue,Away,L,0,3,Manchester Utd,0.6,2.2,42.0,73322.0,Lloyd Kelly,4-4-2,4-2-3-1,Michael Salisbury,Match Report,,7.0,4.0,15.7,1.0,0,0,2023,Bournemouth
