,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1180,2,2022-08-21,14:00,Premier League,Matchweek 3,Sun,Away,L,0,3,Leeds United,0.9,2.1,61.0,36372.0,Jorginho,3-5-2,4-2-3-1,Stuart Attwell,Match Report,,14.0,3.0,19.8,0.0,0,0,2023,Chelsea
1182,4,2022-08-30,19:45,Premier League,Matchweek 5,Tue,Away,L,1,2,Southampton,1.1,1.1,67.0,31542.0,César Azpilicueta,4-2-2-2,4-2-3-1,Michael Oliver,Match Report,,10.0,4.0,14.5,0.0,0,0,2023,Chelsea
1189,16,2022-10-29,15:00,Premier League,Matchweek 14,Sat,Away,L,1,4,Brighton,1.4,2.4,59.0,31746.0,Thiago Silva,3-4-3,4-2-3-1,Andy Madley,Match Report,,15.0,7.0,18.3,0.0,0,0,2023,Chelsea
1190,18,2022-11-06,12:00,Premier League,Matchweek 15,Sun,Home,L,0,1,Arsenal,0.3,2.1,45.0,40142.0,César Azpilicueta,4-2-3-1,4-3-3,Michael Oliver,Match Report,,5.0,1.0,16.0,0.0,0,0,2023,Chelsea
1191,20,2022-11-12,17:30,Premier League,Matchweek 16,Sat,Away,L,0,1,Newcastle Utd,0.3,1.0,51.0,52264.0,César Azpilicueta,3-4-3,4-3-3,Robert Jones,Match Report,,5.0,2.0,14.0,0.0,0,0,2023,Chelsea
1194,23,2023-01-05,20:00,Premier League,Matchweek 19,Thu,Home,L,0,1,Manchester City,0.4,2.0,48.0,39998.0,César Azpilicueta,4-2-3-1,3-2-4-1,Paul Tierney,Match Report,,8.0,2.0,17.2,0.0,0,0,2023,Chelsea
1195,25,2023-01-12,20:00,Premier League,Matchweek 7,Thu,Away,L,1,2,Fulham,2.1,1.0,52.0,24460.0,César Azpilicueta,3-5-2,4-2-3-1,David Coote,Match Report,,20.0,10.0,16.6,1.0,0,0,2023,Chelsea
1200,31,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Home,L,0,1,Southampton,1.6,0.6,62.0,40152.0,César Azpilicueta,4-2-3-1,4-4-2,David Coote,Match Report,,17.0,4.0,17.0,1.0,0,0,2023,Chelsea
1201,32,2023-02-26,13:30,Premier League,Matchweek 25,Sun,Away,L,0,2,Tottenham,0.4,0.8,59.0,61613.0,Thiago Silva,4-2-3-1,3-4-3,Stuart Attwell,Match Report,,10.0,2.0,23.8,0.0,0,0,2023,Chelsea
1205,37,2023-04-01,17:30,Premier League,Matchweek 29,Sat,Home,L,0,2,Aston Villa,2.1,0.9,69.0,40082.0,Mateo Kovačić,3-4-3,4-4-2,Andy Madley,Match Report,,27.0,7.0,16.3,0.0,0,0,2023,Chelsea
1207,39,2023-04-08,15:00,Premier League,Matchweek 30,Sat,Away,L,0,1,Wolves,1.1,0.6,62.0,31614.0,Mateo Kovačić,4-3-3,4-4-2,Peter Bankes,Match Report,,13.0,1.0,16.7,0.0,0,0,2023,Chelsea
1208,41,2023-04-15,15:00,Premier League,Matchweek 31,Sat,Home,L,1,2,Brighton,0.5,2.9,43.0,40126.0,Kepa Arrizabalaga,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,8.0,2.0,18.9,0.0,0,0,2023,Chelsea
1209,43,2023-04-26,19:45,Premier League,Matchweek 33,Wed,Home,L,0,2,Brentford,1.3,1.1,71.0,39929.0,César Azpilicueta,3-4-3,5-3-2,Andy Madley,Match Report,,15.0,4.0,16.5,0.0,0,0,2023,Chelsea
1210,44,2023-05-02,20:00,Premier League,Matchweek 34,Tue,Away,L,1,3,Arsenal,0.8,1.7,45.0,60144.0,César Azpilicueta,4-3-3,4-3-3,Robert Jones,Match Report,,7.0,4.0,17.2,0.0,0,0,2023,Chelsea
1213,47,2023-05-21,16:00,Premier League,Matchweek 37,Sun,Away,L,0,1,Manchester City,1.2,1.2,36.0,53490.0,César Azpilicueta,3-4-1-2,3-4-3,Michael Oliver,Match Report,,13.0,6.0,15.7,1.0,0,0,2023,Chelsea
1214,48,2023-05-25,20:00,Premier League,Matchweek 32,Thu,Away,L,1,4,Manchester Utd,1.9,5.2,58.0,73561.0,César Azpilicueta,4-3-3,4-2-3-1,Stuart Attwell,Match Report,,14.0,5.0,19.2,0.0,0,0,2023,Chelsea
