,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1105,4,2022-08-27,17:30,Premier League,Matchweek 4,Sat,Away,L,1,2,Arsenal,0.8,2.6,29.0,60164.0,Tim Ream,4-2-3-1,4-3-3,Jarred Gillett,Match Report,,11.0,3.0,13.7,0.0,0,0,2023,Fulham
1107,6,2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,L,1,2,Tottenham,0.7,2.9,48.0,61641.0,Tim Ream,4-2-3-1,3-4-3,Stuart Attwell,Match Report,,9.0,3.0,17.1,0.0,0,0,2023,Fulham
1109,8,2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,L,1,4,Newcastle Utd,0.5,3.3,33.0,22913.0,Tim Ream,4-2-3-1,4-3-3,Darren England,Match Report,,3.0,1.0,16.2,0.0,0,0,2023,Fulham
1110,9,2022-10-09,14:00,Premier League,Matchweek 10,Sun,Away,L,1,3,West Ham,0.7,2.4,50.0,62407.0,Tim Ream,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,8.0,2.0,16.6,1.0,0,0,2023,Fulham
1115,14,2022-11-05,15:00,Premier League,Matchweek 15,Sat,Away,L,1,2,Manchester City,1.0,2.1,30.0,52395.0,Tim Ream,4-2-3-1,4-3-3,Darren England,Match Report,,3.0,1.0,26.2,0.0,1,1,2023,Fulham
1116,15,2022-11-13,16:30,Premier League,Matchweek 16,Sun,Home,L,1,2,Manchester Utd,1.4,2.5,53.0,24246.0,Tom Cairney,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,14.0,7.0,14.0,0.0,0,0,2023,Fulham
1121,21,2023-01-15,14:00,Premier League,Matchweek 20,Sun,Away,L,0,1,Newcastle Utd,1.1,2.2,38.0,52247.0,Tim Ream,4-2-3-1,4-3-3,Robert Jones,Match Report,,4.0,0.0,18.9,0.0,0,1,2023,Fulham
1122,22,2023-01-23,20:00,Premier League,Matchweek 21,Mon,Home,L,0,1,Tottenham,1.0,0.9,54.0,24190.0,Tim Ream,4-2-3-1,3-4-3,Paul Tierney,Match Report,,10.0,5.0,17.3,1.0,0,0,2023,Fulham
1127,30,2023-03-06,20:00,Premier League,Matchweek 26,Mon,Away,L,2,3,Brentford,1.4,2.1,63.0,17025.0,Tim Ream,4-2-3-1,4-3-3,Anthony Taylor,Match Report,,9.0,5.0,17.4,1.0,0,0,2023,Fulham
1128,31,2023-03-12,14:00,Premier League,Matchweek 27,Sun,Home,L,0,3,Arsenal,0.8,2.3,45.0,24426.0,Tim Ream,4-2-3-1,4-3-3,David Coote,Match Report,,12.0,2.0,17.4,0.0,0,0,2023,Fulham
1129,33,2023-04-01,15:00,Premier League,Matchweek 29,Sat,Away,L,1,2,Bournemouth,0.8,2.6,57.0,10305.0,Tim Ream,4-2-3-1,4-4-1-1,Peter Bankes,Match Report,,10.0,2.0,16.5,0.0,0,0,2023,Fulham
1130,34,2023-04-08,15:00,Premier League,Matchweek 30,Sat,Home,L,0,1,West Ham,0.7,1.1,76.0,24491.0,Tim Ream,4-2-3-1,4-4-2,Jarred Gillett,Match Report,,16.0,3.0,20.5,0.0,0,0,2023,Fulham
1133,37,2023-04-25,19:45,Premier League,Matchweek 33,Tue,Away,L,0,1,Aston Villa,0.1,1.0,49.0,41046.0,Tim Ream,4-2-3-1,4-2-3-1,Thomas Bramall,Match Report,,1.0,0.0,14.7,0.0,0,0,2023,Fulham
1134,38,2023-04-30,14:00,Premier League,Matchweek 34,Sun,Home,L,1,2,Manchester City,0.2,2.5,38.0,24498.0,Tim Ream,4-2-3-1,3-2-4-1,Simon Hooper,Match Report,,4.0,1.0,22.4,0.0,0,0,2023,Fulham
1135,39,2023-05-03,20:00,Premier League,Matchweek 28,Wed,Away,L,0,1,Liverpool,0.9,1.8,43.0,52602.0,Tom Cairney,4-2-3-1,4-3-3,Stuart Attwell,Match Report,,9.0,3.0,16.8,0.0,0,0,2023,Fulham
1139,43,2023-05-28,16:30,Premier League,Matchweek 38,Sun,Away,L,1,2,Manchester Utd,1.8,2.9,47.0,73465.0,Tom Cairney,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,9.0,2.0,17.6,1.0,0,1,2023,Fulham
