,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1330,0,2022-08-06,15:00,Premier League,Matchweek 1,Sat,Away,L,0,2,Newcastle Utd,0.3,1.7,39.0,52245.0,Joe Worrall,3-4-1-2,4-3-3,Simon Hooper,Match Report,,5.0,0.0,16.0,0.0,0,0,2023,Nottingham Forest
1333,4,2022-08-28,16:30,Premier League,Matchweek 4,Sun,Home,L,0,2,Tottenham,0.9,2.4,55.0,29296.0,Joe Worrall,3-4-3,3-4-3,Craig Pawson,Match Report,,17.0,1.0,20.0,1.0,0,0,2023,Nottingham Forest
1334,5,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Away,L,0,6,Manchester City,0.7,3.3,26.0,53409.0,Joe Worrall,5-3-2,4-2-3-1,Paul Tierney,Match Report,,8.0,1.0,18.4,1.0,0,0,2023,Nottingham Forest
1335,6,2022-09-03,15:00,Premier League,Matchweek 6,Sat,Home,L,2,3,Bournemouth,1.9,0.8,52.0,28720.0,Joe Worrall,3-4-3,4-2-3-1,Michael Oliver,Match Report,,10.0,2.0,17.5,0.0,1,1,2023,Nottingham Forest
1336,7,2022-09-16,20:00,Premier League,Matchweek 8,Fri,Home,L,2,3,Fulham,1.4,0.9,41.0,28654.0,Ryan Yates,3-4-1-2,4-2-3-1,Jarred Gillett,Match Report,,11.0,3.0,16.4,1.0,0,0,2023,Nottingham Forest
1337,8,2022-10-03,20:00,Premier League,Matchweek 9,Mon,Away,L,0,4,Leicester City,1.1,1.3,49.0,32202.0,Steve Cook,4-2-3-1,4-1-4-1,Robert Jones,Match Report,,10.0,3.0,15.7,0.0,0,0,2023,Nottingham Forest
1339,10,2022-10-15,15:00,Premier League,Matchweek 11,Sat,Away,L,0,1,Wolves,1.5,1.3,42.0,31554.0,Ryan Yates,4-3-3,4-2-3-1,Thomas Bramall,Match Report,,9.0,1.0,19.9,1.0,0,1,2023,Nottingham Forest
1342,13,2022-10-30,14:00,Premier League,Matchweek 14,Sun,Away,L,0,5,Arsenal,0.4,2.3,31.0,60263.0,Ryan Yates,4-3-3,4-3-3,Simon Hooper,Match Report,,5.0,2.0,20.4,0.0,0,0,2023,Nottingham Forest
1345,18,2022-12-27,20:00,Premier League,Matchweek 17,Tue,Away,L,0,3,Manchester Utd,0.7,2.4,35.0,73608.0,Joe Worrall,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,8.0,3.0,15.2,0.0,0,0,2023,Nottingham Forest
1351,28,2023-02-11,15:00,Premier League,Matchweek 23,Sat,Away,L,0,2,Fulham,0.7,1.5,50.0,24244.0,Remo Freuler,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,10.0,1.0,15.0,0.0,0,0,2023,Nottingham Forest
1353,30,2023-02-25,15:00,Premier League,Matchweek 25,Sat,Away,L,0,4,West Ham,0.4,2.7,51.0,62469.0,Joe Worrall,4-3-2-1,4-3-3,Jarred Gillett,Match Report,,8.0,3.0,18.9,0.0,0,0,2023,Nottingham Forest
1355,32,2023-03-11,15:00,Premier League,Matchweek 27,Sat,Away,L,1,3,Tottenham,1.5,2.0,45.0,61460.0,Joe Worrall,4-3-2-1,3-4-3,Craig Pawson,Match Report,,8.0,4.0,15.2,0.0,0,1,2023,Nottingham Forest
1356,33,2023-03-17,20:00,Premier League,Matchweek 28,Fri,Home,L,1,2,Newcastle Utd,0.4,2.4,39.0,29362.0,Ryan Yates,4-2-3-1,4-3-3,Paul Tierney,Match Report,,5.0,3.0,18.4,0.0,0,0,2023,Nottingham Forest
1358,35,2023-04-04,19:45,Premier League,Matchweek 7,Tue,Away,L,1,2,Leeds United,0.8,1.8,39.0,36740.0,Remo Freuler,4-3-2-1,4-2-3-1,Robert Jones,Match Report,,13.0,1.0,16.5,0.0,0,0,2023,Nottingham Forest
1359,36,2023-04-08,15:00,Premier League,Matchweek 30,Sat,Away,L,0,2,Aston Villa,0.2,1.3,37.0,42076.0,Joe Worrall,3-4-3,4-4-2,Anthony Taylor,Match Report,,6.0,2.0,22.0,0.0,0,0,2023,Nottingham Forest
1360,37,2023-04-16,16:30,Premier League,Matchweek 31,Sun,Home,L,0,2,Manchester Utd,0.7,3.5,32.0,29435.0,Remo Freuler,3-4-1-2,4-2-3-1,Simon Hooper,Match Report,,6.0,0.0,16.0,0.0,0,0,2023,Nottingham Forest
1361,38,2023-04-22,15:00,Premier League,Matchweek 32,Sat,Away,L,2,3,Liverpool,0.9,2.8,20.0,53254.0,Remo Freuler,3-4-3,4-3-3,Michael Oliver,Match Report,,11.0,5.0,17.4,0.0,0,0,2023,Nottingham Forest
1363,40,2023-04-29,15:00,Premier League,Matchweek 34,Sat,Away,L,1,2,Brentford,0.7,1.6,32.0,17080.0,Joe Worrall,3-4-3,4-3-3,Peter Bankes,Match Report,,5.0,3.0,16.6,0.0,0,0,2023,Nottingham Forest
