,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1254,0,2022-08-07,16:30,Premier League,Matchweek 1,Sun,Home,L,0,2,Manchester City,0.5,2.2,25.0,62443.0,Declan Rice,4-2-3-1,4-3-3,Michael Oliver,Match Report,,6.0,1.0,16.3,0.0,0,0,2023,West Ham United
1255,1,2022-08-14,14:00,Premier League,Matchweek 2,Sun,Away,L,0,1,Nott'ham Forest,2.1,1.3,57.0,29281.0,Declan Rice,4-3-3,3-4-1-2,Robert Jones,Match Report,,18.0,3.0,19.3,2.0,0,1,2023,West Ham United
1256,3,2022-08-21,14:00,Premier League,Matchweek 3,Sun,Home,L,0,2,Brighton,0.8,1.7,50.0,62449.0,Declan Rice,4-2-3-1,3-5-1-1,Anthony Taylor,Match Report,,13.0,3.0,16.5,0.0,0,0,2023,West Ham United
1259,7,2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,L,1,2,Chelsea,1.1,0.9,33.0,39923.0,Declan Rice,3-4-1-2,3-1-4-2,Andy Madley,Match Report,,6.0,3.0,15.9,0.0,0,0,2023,West Ham United
1260,10,2022-09-18,14:15,Premier League,Matchweek 8,Sun,Away,L,0,1,Everton,1.0,0.4,47.0,39298.0,Declan Rice,4-2-3-1,4-3-3,Michael Oliver,Match Report,,14.0,4.0,15.2,0.0,0,0,2023,West Ham United
1264,16,2022-10-19,19:30,Premier League,Matchweek 12,Wed,Away,L,0,1,Liverpool,1.7,1.7,46.0,52982.0,Declan Rice,4-4-2,4-4-2,Stuart Attwell,Match Report,,7.0,2.0,15.2,0.0,0,1,2023,West Ham United
1266,19,2022-10-30,16:15,Premier League,Matchweek 14,Sun,Away,L,0,1,Manchester Utd,1.1,1.2,47.0,73682.0,Declan Rice,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,13.0,4.0,22.3,0.0,0,0,2023,West Ham United
1267,21,2022-11-06,14:00,Premier League,Matchweek 15,Sun,Home,L,1,2,Crystal Palace,0.3,1.0,42.0,62451.0,Declan Rice,4-2-3-1,4-3-3,Paul Tierney,Match Report,,5.0,2.0,16.7,0.0,0,0,2023,West Ham United
1268,23,2022-11-12,15:00,Premier League,Matchweek 16,Sat,Home,L,0,2,Leicester City,1.4,1.8,54.0,62459.0,Declan Rice,4-2-3-1,4-1-4-1,Jarred Gillett,Match Report,,18.0,6.0,16.4,0.0,0,0,2023,West Ham United
1269,24,2022-12-26,20:00,Premier League,Matchweek 17,Mon,Away,L,1,3,Arsenal,1.0,2.1,34.0,60125.0,Declan Rice,4-2-3-1,4-3-3,Michael Oliver,Match Report,,7.0,3.0,24.2,0.0,1,1,2023,West Ham United
1270,25,2022-12-30,19:45,Premier League,Matchweek 18,Fri,Home,L,0,2,Brentford,1.3,1.6,63.0,62467.0,Declan Rice,3-4-3,3-5-2,Darren England,Match Report,,20.0,5.0,18.2,2.0,0,0,2023,West Ham United
1272,28,2023-01-14,15:00,Premier League,Matchweek 20,Sat,Away,L,0,1,Wolves,1.1,0.9,42.0,31511.0,Declan Rice,4-3-3,4-2-3-1,Simon Hooper,Match Report,,16.0,3.0,18.4,0.0,0,0,2023,West Ham United
1276,33,2023-02-19,16:30,Premier League,Matchweek 24,Sun,Away,L,0,2,Tottenham,0.5,1.5,43.0,61476.0,Declan Rice,3-4-3,3-4-3,Michael Oliver,Match Report,,6.0,1.0,16.0,1.0,0,0,2023,West Ham United
1278,36,2023-03-04,15:00,Premier League,Matchweek 26,Sat,Away,L,0,4,Brighton,0.3,3.5,35.0,31523.0,Declan Rice,4-2-3-1,4-2-3-1,Stuart Attwell,Match Report,,3.0,2.0,12.1,0.0,0,0,2023,West Ham United
1281,41,2023-04-05,20:00,Premier League,Matchweek 7,Wed,Home,L,1,5,Newcastle Utd,1.0,3.3,42.0,62481.0,Declan Rice,4-2-3-1,4-3-3,Craig Pawson,Match Report,,7.0,2.0,19.0,1.0,0,0,2023,West Ham United
1285,47,2023-04-26,19:45,Premier League,Matchweek 33,Wed,Home,L,1,2,Liverpool,0.8,1.9,28.0,62473.0,Declan Rice,4-2-3-1,4-3-3,Chris Kavanagh,Match Report,,7.0,2.0,15.5,0.0,0,0,2023,West Ham United
1286,48,2023-04-29,12:30,Premier League,Matchweek 34,Sat,Away,L,3,4,Crystal Palace,1.7,2.1,41.0,25148.0,Declan Rice,4-2-3-1,4-3-3,Craig Pawson,Match Report,,8.0,4.0,16.1,0.0,0,0,2023,West Ham United
1287,49,2023-05-03,20:00,Premier League,Matchweek 28,Wed,Away,L,0,3,Manchester City,0.4,2.3,31.0,53305.0,Aaron Cresswell,4-2-3-1,3-2-4-1,John Brooks,Match Report,,6.0,2.0,24.2,0.0,0,0,2023,West Ham United
1289,52,2023-05-14,14:00,Premier League,Matchweek 36,Sun,Away,L,0,2,Brentford,0.2,3.4,47.0,17075.0,Angelo Ogbonna,4-2-3-1,4-3-3,Michael Oliver,Match Report,,4.0,4.0,19.0,0.0,0,0,2023,West Ham United
1291,55,2023-05-28,16:30,Premier League,Matchweek 38,Sun,Away,L,1,2,Leicester City,1.4,1.4,52.0,32183.0,Declan Rice,4-2-3-1,4-2-3-1,Simon Hooper,Match Report,,16.0,3.0,16.7,0.0,0,0,2023,West Ham United
