,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1292,0,2022-08-06,15:00,Premier League,Matchweek 1,Sat,Home,W,2,0,Aston Villa,0.6,0.7,35.0,11013.0,Lloyd Kelly,3-4-3,4-3-3,Peter Bankes,Match Report,,7.0,3.0,15.7,0.0,0,0,2023,Bournemouth
1297,6,2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,W,3,2,Nott'ham Forest,0.8,1.9,48.0,28720.0,Lloyd Kelly,4-2-3-1,3-4-3,Michael Oliver,Match Report,,8.0,3.0,17.5,0.0,0,0,2023,Bournemouth
1300,9,2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,2,1,Leicester City,1.1,1.0,45.0,10272.0,Adam Smith,4-4-2,4-1-4-1,Michael Salisbury,Match Report,,10.0,4.0,15.0,1.0,0,0,2023,Bournemouth
1306,16,2022-11-12,15:00,Premier League,Matchweek 16,Sat,Home,W,3,0,Everton,2.4,0.8,36.0,10382.0,Adam Smith,4-4-2,4-3-3,Craig Pawson,Match Report,,16.0,8.0,13.6,0.0,0,0,2023,Bournemouth
1314,26,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,W,1,0,Wolves,1.1,1.3,32.0,31222.0,Neto,4-2-3-1,4-2-3-1,Michael Salisbury,Match Report,,5.0,1.0,14.0,0.0,0,0,2023,Bournemouth
1317,29,2023-03-11,12:30,Premier League,Matchweek 27,Sat,Home,W,1,0,Liverpool,0.9,1.7,31.0,10536.0,Neto,4-4-1-1,4-3-3,John Brooks,Match Report,,5.0,2.0,12.3,0.0,0,0,2023,Bournemouth
1319,31,2023-04-01,15:00,Premier League,Matchweek 29,Sat,Home,W,2,1,Fulham,2.6,0.8,43.0,10305.0,Neto,4-4-1-1,4-2-3-1,Peter Bankes,Match Report,,12.0,6.0,12.5,0.0,0,0,2023,Bournemouth
1321,33,2023-04-08,15:00,Premier League,Matchweek 30,Sat,Away,W,1,0,Leicester City,1.9,0.6,49.0,32094.0,Neto,4-2-3-1,4-2-3-1,David Coote,Match Report,,19.0,7.0,14.7,1.0,0,0,2023,Bournemouth
1322,34,2023-04-15,15:00,Premier League,Matchweek 31,Sat,Away,W,3,2,Tottenham,1.3,2.2,42.0,61369.0,Neto,3-4-3,3-4-3,Andy Madley,Match Report,,9.0,6.0,17.9,0.0,0,0,2023,Bournemouth
1324,36,2023-04-27,19:45,Premier League,Matchweek 33,Thu,Away,W,1,0,Southampton,0.9,0.5,43.0,30414.0,Neto,3-4-3,4-4-2,Darren England,Match Report,,16.0,2.0,17.6,0.0,0,0,2023,Bournemouth
1325,37,2023-04-30,14:00,Premier League,Matchweek 34,Sun,Home,W,4,1,Leeds United,1.9,1.6,42.0,10434.0,Neto,4-2-3-1,3-4-3,Chris Kavanagh,Match Report,,12.0,7.0,12.5,0.0,0,0,2023,Bournemouth
