,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
915,4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,9,0,Bournemouth,3.3,0.3,69.0,53328.0,Jordan Henderson,4-3-3,4-2-3-1,Stuart Attwell,Match Report,,19.0,12.0,11.6,0.0,0,0,2023,Liverpool
916,5,2022-08-31,20:00,Premier League,Matchweek 5,Wed,Home,W,2,1,Newcastle Utd,1.5,0.7,72.0,53316.0,Jordan Henderson,4-3-3,4-3-3,Andre Marriner,Match Report,,23.0,6.0,17.8,0.0,0,0,2023,Liverpool
920,13,2022-10-16,16:30,Premier League,Matchweek 11,Sun,Home,W,1,0,Manchester City,2.1,1.0,37.0,53286.0,James Milner,4-2-3-1,3-4-3,Anthony Taylor,Match Report,,13.0,2.0,17.5,0.0,0,0,2023,Liverpool
921,14,2022-10-19,19:30,Premier League,Matchweek 12,Wed,Home,W,1,0,West Ham,1.7,1.7,54.0,52982.0,Jordan Henderson,4-4-2,4-4-2,Stuart Attwell,Match Report,,22.0,7.0,17.5,0.0,0,0,2023,Liverpool
924,19,2022-11-06,16:30,Premier League,Matchweek 15,Sun,Away,W,2,1,Tottenham,1.2,1.2,53.0,62008.0,Virgil van Dijk,4-1-2-1-2◆,5-3-2,Andy Madley,Match Report,,13.0,6.0,21.2,0.0,0,0,2023,Liverpool
925,21,2022-11-12,15:00,Premier League,Matchweek 16,Sat,Home,W,3,1,Southampton,1.9,1.1,60.0,53331.0,Virgil van Dijk,4-3-3,5-3-2,Simon Hooper,Match Report,,15.0,7.0,12.4,0.0,0,0,2023,Liverpool
926,23,2022-12-26,17:30,Premier League,Matchweek 17,Mon,Away,W,3,1,Aston Villa,2.7,1.4,52.0,42085.0,Jordan Henderson,4-3-3,4-4-2,Paul Tierney,Match Report,,16.0,9.0,17.0,0.0,0,0,2023,Liverpool
927,24,2022-12-30,20:00,Premier League,Matchweek 18,Fri,Home,W,2,1,Leicester City,2.2,1.0,57.0,53343.0,Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,Match Report,,21.0,5.0,18.4,1.0,0,0,2023,Liverpool
932,32,2023-02-13,20:00,Premier League,Matchweek 23,Mon,Home,W,2,0,Everton,2.3,0.4,59.0,53027.0,Jordan Henderson,4-3-3,4-5-1,Simon Hooper,Match Report,,15.0,6.0,16.7,1.0,0,0,2023,Liverpool
933,33,2023-02-18,17:30,Premier League,Matchweek 24,Sat,Away,W,2,0,Newcastle Utd,1.9,2.0,62.0,52758.0,Jordan Henderson,4-3-3,4-3-3,Anthony Taylor,Match Report,,13.0,7.0,16.4,1.0,0,0,2023,Liverpool
935,36,2023-03-01,20:00,Premier League,Matchweek 7,Wed,Home,W,2,0,Wolves,2.6,0.8,57.0,53259.0,Virgil van Dijk,4-3-3,4-2-3-1,Paul Tierney,Match Report,,15.0,6.0,13.6,0.0,0,0,2023,Liverpool
936,37,2023-03-05,16:30,Premier League,Matchweek 26,Sun,Home,W,7,0,Manchester Utd,2.8,0.8,59.0,53001.0,Jordan Henderson,4-3-3,4-2-3-1,Andy Madley,Match Report,,18.0,8.0,12.7,0.0,0,0,2023,Liverpool
941,43,2023-04-17,20:00,Premier League,Matchweek 31,Mon,Away,W,6,1,Leeds United,2.7,1.4,73.0,36657.0,Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,Match Report,,13.0,7.0,12.9,0.0,0,0,2023,Liverpool
942,44,2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,W,3,2,Nott'ham Forest,2.8,0.9,80.0,53254.0,Jordan Henderson,4-3-3,3-4-3,Michael Oliver,Match Report,,18.0,5.0,12.5,0.0,0,0,2023,Liverpool
943,45,2023-04-26,19:45,Premier League,Matchweek 33,Wed,Away,W,2,1,West Ham,1.9,0.8,72.0,62473.0,Jordan Henderson,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,20.0,4.0,16.8,0.0,0,0,2023,Liverpool
944,46,2023-04-30,16:30,Premier League,Matchweek 34,Sun,Home,W,4,3,Tottenham,2.2,2.0,67.0,53275.0,Virgil van Dijk,4-3-3,3-4-3,Paul Tierney,Match Report,,11.0,3.0,16.1,0.0,1,1,2023,Liverpool
945,47,2023-05-03,20:00,Premier League,Matchweek 28,Wed,Home,W,1,0,Fulham,1.8,0.9,57.0,52602.0,Jordan Henderson,4-3-3,4-2-3-1,Stuart Attwell,Match Report,,14.0,2.0,22.6,0.0,1,1,2023,Liverpool
946,48,2023-05-06,17:30,Premier League,Matchweek 35,Sat,Home,W,1,0,Brentford,2.2,0.2,54.0,52838.0,Virgil van Dijk,4-3-3,5-3-2,Anthony Taylor,Match Report,,15.0,5.0,18.8,0.0,0,0,2023,Liverpool
947,49,2023-05-15,20:00,Premier League,Matchweek 36,Mon,Away,W,3,0,Leicester City,2.2,0.4,66.0,32225.0,Jordan Henderson,4-3-3,4-2-3-1,Craig Pawson,Match Report,,16.0,5.0,17.5,1.0,0,0,2023,Liverpool
