,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1026,0,2022-08-06,15:00,Premier League,Matchweek 1,Sat,Home,W,4,1,Southampton,1.5,0.5,58.0,61732.0,Hugo Lloris,3-4-3,5-3-2,Andre Marriner,Match Report,,18.0,8.0,16.5,0.0,0,0,2023,Tottenham Hotspur
1028,2,2022-08-20,12:30,Premier League,Matchweek 3,Sat,Home,W,1,0,Wolves,1.7,0.7,50.0,61298.0,Hugo Lloris,3-4-3,3-5-2,Simon Hooper,Match Report,,11.0,4.0,11.7,0.0,0,0,2023,Tottenham Hotspur
1029,3,2022-08-28,16:30,Premier League,Matchweek 4,Sun,Away,W,2,0,Nott'ham Forest,2.4,0.9,45.0,29296.0,Hugo Lloris,3-4-3,3-4-3,Craig Pawson,Match Report,,17.0,5.0,19.7,0.0,0,1,2023,Tottenham Hotspur
1031,5,2022-09-03,15:00,Premier League,Matchweek 6,Sat,Home,W,2,1,Fulham,2.9,0.7,52.0,61641.0,Hugo Lloris,3-4-3,4-2-3-1,Stuart Attwell,Match Report,,23.0,10.0,15.5,1.0,0,0,2023,Tottenham Hotspur
1032,8,2022-09-17,17:30,Premier League,Matchweek 8,Sat,Home,W,6,2,Leicester City,2.2,1.8,44.0,61450.0,Hugo Lloris,3-4-3,4-1-4-1,Simon Hooper,Match Report,,16.0,11.0,16.5,0.0,0,0,2023,Tottenham Hotspur
1034,11,2022-10-08,17:30,Premier League,Matchweek 10,Sat,Away,W,1,0,Brighton,0.8,0.7,41.0,31498.0,Hugo Lloris,3-5-2,3-4-3,Tony Harrington,Match Report,,8.0,3.0,18.7,1.0,0,0,2023,Tottenham Hotspur
1035,13,2022-10-15,17:30,Premier League,Matchweek 11,Sat,Home,W,2,0,Everton,2.2,0.4,62.0,61812.0,Hugo Lloris,3-4-3,5-3-2,Paul Tierney,Match Report,,20.0,6.0,17.2,1.0,1,1,2023,Tottenham Hotspur
1038,17,2022-10-29,15:00,Premier League,Matchweek 14,Sat,Away,W,3,2,Bournemouth,2.0,0.5,69.0,10430.0,Hugo Lloris,3-5-2,3-5-1-1,Anthony Taylor,Match Report,,23.0,7.0,15.1,1.0,0,0,2023,Tottenham Hotspur
1040,21,2022-11-12,15:00,Premier League,Matchweek 16,Sat,Home,W,4,3,Leeds United,1.8,1.1,55.0,61667.0,Hugo Lloris,3-4-3,4-2-3-1,Michael Salisbury,Match Report,,14.0,7.0,14.5,0.0,0,0,2023,Tottenham Hotspur
1043,24,2023-01-04,20:00,Premier League,Matchweek 19,Wed,Away,W,4,0,Crystal Palace,1.4,0.8,53.0,25132.0,Hugo Lloris,3-4-3,4-2-3-1,Michael Oliver,Match Report,,14.0,6.0,16.2,0.0,0,0,2023,Tottenham Hotspur
1046,28,2023-01-23,20:00,Premier League,Matchweek 21,Mon,Away,W,1,0,Fulham,0.9,1.0,46.0,24190.0,Hugo Lloris,3-4-3,4-2-3-1,Paul Tierney,Match Report,,10.0,3.0,17.0,1.0,0,0,2023,Tottenham Hotspur
1047,30,2023-02-05,16:30,Premier League,Matchweek 22,Sun,Home,W,1,0,Manchester City,1.4,1.3,36.0,61747.0,Hugo Lloris,3-4-3,4-4-2,Andy Madley,Match Report,,12.0,3.0,14.7,0.0,0,0,2023,Tottenham Hotspur
1049,33,2023-02-19,16:30,Premier League,Matchweek 24,Sun,Home,W,2,0,West Ham,1.5,0.5,57.0,61476.0,Harry Kane,3-4-3,3-4-3,Michael Oliver,Match Report,,16.0,6.0,21.5,0.0,0,0,2023,Tottenham Hotspur
1050,34,2023-02-26,13:30,Premier League,Matchweek 25,Sun,Home,W,2,0,Chelsea,0.8,0.4,41.0,61613.0,Harry Kane,3-4-3,4-2-3-1,Stuart Attwell,Match Report,,8.0,3.0,16.5,0.0,0,0,2023,Tottenham Hotspur
1052,38,2023-03-11,15:00,Premier League,Matchweek 27,Sat,Home,W,3,1,Nott'ham Forest,2.0,1.5,55.0,61460.0,Harry Kane,3-4-3,4-3-2-1,Craig Pawson,Match Report,,14.0,6.0,14.8,0.0,1,1,2023,Tottenham Hotspur
1055,41,2023-04-08,15:00,Premier League,Matchweek 30,Sat,Home,W,2,1,Brighton,0.8,1.4,35.0,61405.0,Hugo Lloris,3-4-3,4-2-3-1,Stuart Attwell,Match Report,,9.0,3.0,15.2,0.0,0,0,2023,Tottenham Hotspur
1060,46,2023-05-06,15:00,Premier League,Matchweek 35,Sat,Home,W,1,0,Crystal Palace,0.9,0.4,56.0,61093.0,Harry Kane,3-4-3,4-3-3,Darren England,Match Report,,8.0,3.0,12.7,0.0,0,0,2023,Tottenham Hotspur
1063,49,2023-05-28,16:30,Premier League,Matchweek 38,Sun,Away,W,4,1,Leeds United,2.2,1.5,48.0,36871.0,Harry Kane,4-4-2,5-4-1,Anthony Taylor,Match Report,,11.0,7.0,14.5,0.0,0,0,2023,Tottenham Hotspur
