,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
304,0,2023-08-12,15:00,Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1.1,1.3,38.0,11245.0,Kurt Zouma,4-2-3-1,4-2-3-1,Peter Bankes,Match Report,,16.0,2.0,16.1,0.0,0,0,2024,West Ham United
311,10,2023-10-08,14:00,Premier League,Matchweek 8,Sun,Home,D,2,2,Newcastle Utd,1.2,2.0,36.0,62473.0,Kurt Zouma,4-2-3-1,4-3-3,Peter Bankes,Match Report,,5.0,3.0,14.9,1.0,0,0,2024,West Ham United
317,20,2023-12-03,14:00,Premier League,Matchweek 14,Sun,Home,D,1,1,Crystal Palace,1.1,0.9,55.0,62414.0,Tomáš Souček,4-2-3-1,4-3-3,Michael Oliver,Match Report,,9.0,3.0,15.7,1.0,0,0,2024,West Ham United
323,28,2024-01-02,19:30,Premier League,Matchweek 20,Tue,Home,D,0,0,Brighton,0.7,2.3,32.0,62462.0,Angelo Ogbonna,4-2-3-1,4-3-1-2,Samuel Barrott,Match Report,,6.0,2.0,16.0,0.0,0,0,2024,West Ham United
324,31,2024-01-21,14:00,Premier League,Matchweek 21,Sun,Away,D,2,2,Sheffield Utd,2.3,2.5,43.0,29164.0,Kurt Zouma,4-4-1-1,4-1-4-1,Michael Salisbury,Match Report,,15.0,4.0,14.9,0.0,1,1,2024,West Ham United
325,32,2024-02-01,19:30,Premier League,Matchweek 22,Thu,Home,D,1,1,Bournemouth,1.4,1.2,48.0,62478.0,Kurt Zouma,4-3-2-1,4-2-3-1,Tim Robinson,Match Report,,8.0,2.0,17.1,0.0,1,1,2024,West Ham United
331,39,2024-03-10,14:00,Premier League,Matchweek 28,Sun,Home,D,2,2,Burnley,2.1,0.7,52.0,62441.0,Tomáš Souček,4-2-3-1,4-4-2,Darren England,Match Report,,22.0,4.0,14.8,0.0,0,0,2024,West Ham United
332,41,2024-03-17,14:00,Premier League,Matchweek 29,Sun,Home,D,1,1,Aston Villa,2.0,0.7,31.0,62461.0,Kurt Zouma,4-2-3-1,4-4-2,Jarred Gillett,Match Report,,13.0,4.0,15.9,1.0,0,0,2024,West Ham United
334,43,2024-04-02,20:15,Premier League,Matchweek 31,Tue,Home,D,1,1,Tottenham,1.5,1.0,33.0,62469.0,Kurt Zouma,4-5-1,4-2-3-1,John Brooks,Match Report,,11.0,4.0,16.6,1.0,0,0,2024,West Ham United
338,49,2024-04-27,12:30,Premier League,Matchweek 35,Sat,Home,D,2,2,Liverpool,0.7,1.7,29.0,62474.0,Kurt Zouma,4-2-3-1,4-3-3,Anthony Taylor,Match Report,,11.0,8.0,17.0,0.0,0,0,2024,West Ham United
