,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
382,2,2023-08-26,17:30,Premier League,Matchweek 3,Sat,Home,L,1,3,West Ham,1.5,3.0,78.0,31508.0,Lewis Dunk,4-2-3-1,4-1-4-1,Anthony Taylor,Match Report,,25.0,10.0,19.5,1.0,0,0,2024,Brighton and Hove Albion
386,8,2023-09-30,12:30,Premier League,Matchweek 7,Sat,Away,L,1,6,Aston Villa,1.7,1.6,61.0,40636.0,Lewis Dunk,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,11.0,3.0,15.4,0.0,0,0,2024,Brighton and Hove Albion
388,11,2023-10-21,15:00,Premier League,Matchweek 9,Sat,Away,L,1,2,Manchester City,0.8,0.8,45.0,53466.0,Lewis Dunk,4-2-3-1,3-2-4-1,Robert Jones,Match Report,,5.0,3.0,12.1,0.0,0,0,2024,Brighton and Hove Albion
393,19,2023-12-03,14:00,Premier League,Matchweek 14,Sun,Away,L,2,3,Chelsea,1.1,2.1,68.0,39647.0,Adam Lallana,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,18.0,9.0,18.6,1.0,0,0,2024,Brighton and Hove Albion
396,23,2023-12-17,14:00,Premier League,Matchweek 17,Sun,Away,L,0,2,Arsenal,0.7,2.3,51.0,60257.0,Lewis Dunk,4-2-3-1,4-3-3,Tim Robinson,Match Report,,6.0,1.0,16.9,0.0,0,0,2024,Brighton and Hove Albion
401,30,2024-01-30,19:45,Premier League,Matchweek 22,Tue,Away,L,0,4,Luton Town,0.9,3.1,59.0,10994.0,Lewis Dunk,3-4-3,3-4-3,Robert Jones,Match Report,,9.0,2.0,13.9,0.0,0,0,2024,Brighton and Hove Albion
403,32,2024-02-10,15:00,Premier League,Matchweek 24,Sat,Away,L,1,2,Tottenham,1.2,1.6,48.0,61445.0,Lewis Dunk,4-2-3-1,4-2-3-1,Samuel Barrott,Match Report,,5.0,2.0,17.8,0.0,1,1,2024,Brighton and Hove Albion
406,36,2024-03-02,15:00,Premier League,Matchweek 27,Sat,Away,L,0,3,Fulham,1.3,1.3,70.0,24460.0,Lewis Dunk,3-4-3,4-2-3-1,Simon Hooper,Match Report,,15.0,5.0,17.6,0.0,0,0,2024,Brighton and Hove Albion
408,40,2024-03-31,14:00,Premier League,Matchweek 30,Sun,Away,L,1,2,Liverpool,0.5,2.8,45.0,60061.0,Lewis Dunk,4-2-3-1,4-3-3,David Coote,Match Report,,9.0,3.0,17.2,0.0,0,0,2024,Brighton and Hove Albion
410,42,2024-04-06,17:30,Premier League,Matchweek 32,Sat,Home,L,0,3,Arsenal,0.5,3.4,54.0,31677.0,Lewis Dunk,4-2-3-1,4-3-3,John Brooks,Match Report,,10.0,2.0,19.2,0.0,0,0,2024,Brighton and Hove Albion
412,44,2024-04-25,20:00,Premier League,Matchweek 29,Thu,Home,L,0,4,Manchester City,0.6,1.4,36.0,31596.0,Lewis Dunk,4-2-3-1,4-1-4-1,Jarred Gillett,Match Report,,7.0,3.0,16.0,0.0,0,0,2024,Brighton and Hove Albion
413,45,2024-04-28,14:00,Premier League,Matchweek 35,Sun,Away,L,0,3,Bournemouth,0.9,1.9,69.0,11188.0,Lewis Dunk,4-2-3-1,4-4-2,Paul Tierney,Match Report,,13.0,1.0,16.5,0.0,0,0,2024,Brighton and Hove Albion
416,48,2024-05-15,19:45,Premier League,Matchweek 34,Wed,Home,L,1,2,Chelsea,1.3,1.5,55.0,31555.0,Lewis Dunk,4-2-3-1,4-2-3-1,Michael Salisbury,Match Report,,12.0,2.0,15.3,0.0,0,0,2024,Brighton and Hove Albion
417,49,2024-05-19,16:00,Premier League,Matchweek 38,Sun,Home,L,0,2,Manchester Utd,1.7,1.3,55.0,31662.0,Adam Lallana,4-2-3-1,4-2-2-2,Craig Pawson,Match Report,,17.0,2.0,14.2,0.0,0,0,2024,Brighton and Hove Albion
