,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
684,0,2023-08-11,20:00,Premier League,Matchweek 1,Fri,Home,L,0,3,Manchester City,0.3,1.9,35.0,21572.0,Josh Cullen,5-4-1,4-2-3-1,Craig Pawson,Match Report,,6.0,1.0,14.9,0.0,0,0,2024,Burnley
685,1,2023-08-27,14:00,Premier League,Matchweek 3,Sun,Home,L,1,3,Aston Villa,0.7,2.5,57.0,21591.0,Josh Cullen,4-4-2,3-4-3,Michael Salisbury,Match Report,,9.0,2.0,17.7,0.0,0,0,2024,Burnley
686,3,2023-09-02,15:00,Premier League,Matchweek 4,Sat,Home,L,2,5,Tottenham,1.3,2.2,47.0,21750.0,Josh Cullen,4-4-2,4-2-3-1,Darren England,Match Report,,16.0,4.0,17.9,1.0,0,0,2024,Burnley
688,5,2023-09-23,20:00,Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,1.1,1.0,61.0,21593.0,Josh Brownhill,4-3-3,4-2-3-1,Tony Harrington,Match Report,,12.0,4.0,15.6,0.0,0,0,2024,Burnley
689,7,2023-09-30,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,Newcastle Utd,0.6,3.1,47.0,51687.0,Josh Brownhill,4-2-3-1,4-3-3,Thomas Bramall,Match Report,,8.0,2.0,16.3,0.0,0,0,2024,Burnley
691,9,2023-10-07,15:00,Premier League,Matchweek 8,Sat,Home,L,1,4,Chelsea,0.7,1.9,38.0,21654.0,Josh Brownhill,4-3-3,4-3-3,Stuart Attwell,Match Report,,10.0,3.0,18.2,1.0,0,0,2024,Burnley
692,10,2023-10-21,15:00,Premier League,Matchweek 9,Sat,Away,L,0,3,Brentford,1.1,3.1,50.0,17029.0,Josh Cullen,4-2-3-1,4-3-3,Joshua Smith,Match Report,,6.0,1.0,20.2,0.0,0,0,2024,Burnley
693,11,2023-10-28,15:00,Premier League,Matchweek 10,Sat,Away,L,1,2,Bournemouth,0.8,1.1,55.0,11152.0,Josh Brownhill,4-3-3,4-2-3-1,Samuel Barrott,Match Report,,6.0,3.0,18.0,0.0,0,0,2024,Burnley
694,13,2023-11-04,15:00,Premier League,Matchweek 11,Sat,Home,L,0,2,Crystal Palace,1.1,1.3,67.0,21578.0,Josh Brownhill,4-4-2,4-2-3-1,Peter Bankes,Match Report,,17.0,5.0,13.3,0.0,0,0,2024,Burnley
695,14,2023-11-11,15:00,Premier League,Matchweek 12,Sat,Away,L,1,3,Arsenal,0.3,1.8,37.0,60232.0,Josh Brownhill,4-4-2,4-3-3,Michael Oliver,Match Report,,8.0,5.0,19.3,0.0,0,0,2024,Burnley
