,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
646,0,2023-08-12,15:00,Premier League,Matchweek 1,Sat,Away,L,1,4,Brighton,1.5,4.0,30.0,31872.0,Tom Lockyer,3-5-2,4-2-3-1,David Coote,Match Report,,8.0,2.0,16.6,0.0,1,1,2024,Luton Town
647,1,2023-08-25,20:00,Premier League,Matchweek 3,Fri,Away,L,0,3,Chelsea,0.4,2.2,33.0,39893.0,Tom Lockyer,5-3-2,3-4-3,Robert Jones,Match Report,,11.0,1.0,19.0,1.0,0,0,2024,Luton Town
648,3,2023-09-01,20:00,Premier League,Matchweek 4,Fri,Home,L,1,2,West Ham,1.4,1.0,39.0,10802.0,Carlton Morris,5-3-2,4-2-3-1,Paul Tierney,Match Report,,16.0,1.0,11.9,0.0,0,0,2024,Luton Town
649,4,2023-09-16,15:00,Premier League,Matchweek 5,Sat,Away,L,0,1,Fulham,1.1,1.0,23.0,24467.0,Tom Lockyer,5-3-2,4-3-3,Michael Salisbury,Match Report,,7.0,2.0,10.0,0.0,0,0,2024,Luton Town
652,8,2023-10-03,19:30,Premier League,Matchweek 2,Tue,Home,L,1,2,Burnley,1.3,1.1,49.0,10918.0,Tom Lockyer,3-4-3,4-3-3,Peter Bankes,Match Report,,18.0,2.0,13.1,0.0,0,0,2024,Luton Town
653,9,2023-10-07,12:30,Premier League,Matchweek 8,Sat,Home,L,0,1,Tottenham,0.8,1.9,34.0,10290.0,Tom Lockyer,4-4-2,4-2-3-1,John Brooks,Match Report,,12.0,2.0,16.3,0.0,0,0,2024,Luton Town
655,11,2023-10-29,14:00,Premier League,Matchweek 10,Sun,Away,L,1,3,Aston Villa,0.5,2.3,30.0,41785.0,Tom Lockyer,3-4-3,4-4-2,John Brooks,Match Report,,7.0,1.0,17.3,0.0,0,0,2024,Luton Town
657,13,2023-11-11,15:00,Premier League,Matchweek 12,Sat,Away,L,0,1,Manchester Utd,0.4,2.2,36.0,73599.0,Tom Lockyer,3-4-3,4-2-3-1,Graham Scott,Match Report,,10.0,4.0,21.9,1.0,0,0,2024,Luton Town
659,15,2023-12-02,15:00,Premier League,Matchweek 14,Sat,Away,L,1,3,Brentford,0.2,3.1,32.0,17075.0,Tom Lockyer,3-4-3,4-3-3,Anthony Taylor,Match Report,,7.0,1.0,23.8,0.0,0,0,2024,Luton Town
660,16,2023-12-05,20:15,Premier League,Matchweek 15,Tue,Home,L,3,4,Arsenal,0.5,2.2,34.0,11031.0,Pelly Ruddock Mpanzu,3-4-3,4-3-3,Samuel Barrott,Match Report,,6.0,4.0,18.8,0.0,0,0,2024,Luton Town
