,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
722,0,2023-08-12,15:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Crystal Palace,0.5,1.9,32.0,31194.0,John Egan,3-4-3,4-2-3-1,John Brooks,Match Report,,8.0,1.0,19.4,0.0,0,0,2024,Sheffield United
723,1,2023-08-18,19:45,Premier League,Matchweek 2,Fri,Away,L,1,2,Nott'ham Forest,0.5,1.4,50.0,29432.0,John Egan,3-4-3,3-4-3,Peter Bankes,Match Report,,7.0,3.0,18.8,0.0,0,0,2024,Sheffield United
724,2,2023-08-27,14:00,Premier League,Matchweek 3,Sun,Home,L,1,2,Manchester City,0.7,3.5,21.0,31336.0,John Egan,3-5-2,4-2-3-1,Jarred Gillett,Match Report,,6.0,1.0,16.1,0.0,0,0,2024,Sheffield United
726,5,2023-09-16,15:00,Premier League,Matchweek 5,Sat,Away,L,1,2,Tottenham,0.7,2.1,30.0,61706.0,Chris Basham,3-5-2,4-2-3-1,Peter Bankes,Match Report,,7.0,5.0,17.6,0.0,0,0,2024,Sheffield United
727,6,2023-09-24,16:30,Premier League,Matchweek 6,Sun,Home,L,0,8,Newcastle Utd,0.9,3.9,42.0,31127.0,John Egan,3-4-3,4-3-3,Stuart Attwell,Match Report,,9.0,1.0,13.7,0.0,0,0,2024,Sheffield United
728,7,2023-09-30,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,West Ham,1.1,2.1,48.0,62459.0,John Egan,3-5-2,4-2-3-1,Graham Scott,Match Report,,16.0,2.0,15.7,0.0,0,0,2024,Sheffield United
729,8,2023-10-07,15:00,Premier League,Matchweek 8,Sat,Away,L,1,3,Fulham,0.6,2.2,40.0,24361.0,Chris Basham,3-5-2,4-3-3,Samuel Barrott,Match Report,,5.0,2.0,16.6,0.0,0,0,2024,Sheffield United
730,9,2023-10-21,20:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Manchester Utd,1.4,1.1,38.0,31543.0,Oliver Norwood,4-4-2,4-2-3-1,Michael Oliver,Match Report,,11.0,5.0,25.8,0.0,1,1,2024,Sheffield United
731,10,2023-10-28,15:00,Premier League,Matchweek 10,Sat,Away,L,0,5,Arsenal,0.0,2.8,33.0,60153.0,Oliver Norwood,4-4-2,4-3-3,Tim Robinson,Match Report,,2.0,0.0,39.9,0.0,0,0,2024,Sheffield United
734,13,2023-11-25,15:00,Premier League,Matchweek 13,Sat,Home,L,1,3,Bournemouth,0.8,2.9,46.0,30208.0,Oliver Norwood,3-4-3,4-2-3-1,Andy Madley,Match Report,,10.0,2.0,14.9,0.0,0,0,2024,Sheffield United
