,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
162,11,2023-11-06,20:00,Premier League,Matchweek 11,Mon,Home,L,1,4,Chelsea,0.9,4.1,40.0,61726.0,Son Heung-min,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,8.0,5.0,23.5,1.0,0,0,2024,Tottenham Hotspur
163,12,2023-11-11,12:30,Premier League,Matchweek 12,Sat,Away,L,1,2,Wolves,0.7,2.1,58.0,31642.0,Son Heung-min,4-3-3,3-5-2,Tim Robinson,Match Report,,6.0,2.0,17.5,0.0,0,0,2024,Tottenham Hotspur
164,13,2023-11-26,14:00,Premier League,Matchweek 13,Sun,Home,L,1,2,Aston Villa,2.3,1.7,62.0,61679.0,Son Heung-min,4-2-3-1,4-4-2,Robert Jones,Match Report,,18.0,7.0,14.0,0.0,0,0,2024,Tottenham Hotspur
166,15,2023-12-07,20:15,Premier League,Matchweek 15,Thu,Home,L,1,2,West Ham,1.8,2.2,74.0,61171.0,Son Heung-min,4-2-3-1,4-3-3,Michael Salisbury,Match Report,,23.0,6.0,17.1,1.0,0,0,2024,Tottenham Hotspur
170,19,2023-12-28,19:30,Premier League,Matchweek 19,Thu,Away,L,2,4,Brighton,2.3,3.2,55.0,31675.0,Son Heung-min,4-2-3-1,4-1-2-1-2,Jarred Gillett,Match Report,,19.0,3.0,15.2,1.0,0,0,2024,Tottenham Hotspur
176,27,2024-02-17,15:00,Premier League,Matchweek 25,Sat,Home,L,1,2,Wolves,1.6,1.8,71.0,61532.0,Son Heung-min,4-2-3-1,3-4-3,Anthony Taylor,Match Report,,15.0,4.0,14.3,0.0,0,0,2024,Tottenham Hotspur
179,30,2024-03-16,17:30,Premier League,Matchweek 29,Sat,Away,L,0,3,Fulham,2.4,2.6,57.0,24410.0,Son Heung-min,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,14.0,5.0,14.0,0.0,0,0,2024,Tottenham Hotspur
183,34,2024-04-13,12:30,Premier League,Matchweek 33,Sat,Away,L,0,4,Newcastle Utd,0.8,2.8,72.0,52147.0,Son Heung-min,4-2-3-1,4-3-3,Tim Robinson,Match Report,,11.0,2.0,19.0,0.0,0,0,2024,Tottenham Hotspur
184,35,2024-04-28,14:00,Premier League,Matchweek 35,Sun,Home,L,2,3,Arsenal,2.3,1.0,62.0,61554.0,Son Heung-min,4-2-3-1,4-3-3,Michael Oliver,Match Report,,14.0,1.0,16.8,0.0,1,1,2024,Tottenham Hotspur
185,36,2024-05-02,19:30,Premier League,Matchweek 26,Thu,Away,L,0,2,Chelsea,1.6,2.2,63.0,39086.0,Son Heung-min,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,19.0,3.0,16.9,0.0,0,0,2024,Tottenham Hotspur
186,37,2024-05-05,16:30,Premier League,Matchweek 36,Sun,Away,L,2,4,Liverpool,1.2,3.3,56.0,60075.0,Son Heung-min,4-3-3,4-3-3,Paul Tierney,Match Report,,11.0,6.0,21.6,1.0,0,0,2024,Tottenham Hotspur
188,39,2024-05-14,20:00,Premier League,Matchweek 34,Tue,Home,L,0,2,Manchester City,1.7,2.4,53.0,61065.0,Son Heung-min,4-3-1-2,4-2-3-1,Chris Kavanagh,Match Report,,10.0,5.0,15.0,0.0,0,0,2024,Tottenham Hotspur
