,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
571,1,2023-08-19,15:00,Premier League,Matchweek 2,Sat,Away,W,3,0,Fulham,3.7,0.5,45.0,24236.0,Christian Nørgaard,4-3-3,4-3-3,Darren Bond,Match Report,,16.0,7.0,13.8,1.0,1,1,2024,Brentford
578,10,2023-10-21,15:00,Premier League,Matchweek 9,Sat,Home,W,3,0,Burnley,3.1,1.1,50.0,17029.0,Christian Nørgaard,4-3-3,4-2-3-1,Joshua Smith,Match Report,,23.0,9.0,15.0,1.0,0,0,2024,Brentford
579,11,2023-10-28,12:30,Premier League,Matchweek 10,Sat,Away,W,2,0,Chelsea,2.2,1.9,32.0,39575.0,Christian Nørgaard,3-5-2,4-2-3-1,Simon Hooper,Match Report,,7.0,5.0,12.7,0.0,0,0,2024,Brentford
580,12,2023-11-04,15:00,Premier League,Matchweek 11,Sat,Home,W,3,2,West Ham,1.5,1.8,58.0,17103.0,Christian Nørgaard,4-3-3,4-4-2,Thomas Bramall,Match Report,,16.0,4.0,15.7,1.0,0,0,2024,Brentford
583,15,2023-12-02,15:00,Premier League,Matchweek 14,Sat,Home,W,3,1,Luton Town,3.1,0.2,68.0,17075.0,Christian Nørgaard,4-3-3,3-4-3,Anthony Taylor,Match Report,,27.0,6.0,15.4,0.0,0,0,2024,Brentford
589,23,2024-01-20,17:30,Premier League,Matchweek 21,Sat,Home,W,3,2,Nott'ham Forest,1.2,1.2,48.0,17077.0,Ivan Toney,3-5-2,4-2-3-1,Darren England,Match Report,,11.0,5.0,14.8,1.0,0,0,2024,Brentford
592,26,2024-02-10,15:00,Premier League,Matchweek 24,Sat,Away,W,2,0,Wolves,1.9,1.0,29.0,30731.0,Christian Nørgaard,3-5-2,3-4-3,Simon Hooper,Match Report,,9.0,6.0,14.0,0.0,0,0,2024,Brentford
602,36,2024-04-13,15:00,Premier League,Matchweek 33,Sat,Home,W,2,0,Sheffield Utd,1.0,0.8,53.0,17115.0,Mathias Jensen,4-3-3,3-5-2,Samuel Barrott,Match Report,,9.0,5.0,18.7,0.0,0,0,2024,Brentford
603,37,2024-04-20,15:00,Premier League,Matchweek 34,Sat,Away,W,5,1,Luton Town,3.1,0.6,47.0,11877.0,Mathias Jensen,4-3-3,3-4-3,Jarred Gillett,Match Report,,21.0,9.0,18.0,0.0,0,0,2024,Brentford
606,40,2024-05-11,15:00,Premier League,Matchweek 37,Sat,Away,W,2,1,Bournemouth,1.1,0.7,52.0,11154.0,Christian Nørgaard,4-3-3,4-2-3-1,Matt Donohue,Match Report,,11.0,4.0,15.7,0.0,0,0,2024,Brentford
