,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
192,2,2023-08-25,20:00,Premier League,Matchweek 3,Fri,Home,W,3,0,Luton Town,2.2,0.4,67.0,39893.0,Ben Chilwell,3-4-3,5-3-2,Robert Jones,Match Report,,19.0,8.0,14.2,1.0,0,0,2024,Chelsea
196,8,2023-10-02,20:00,Premier League,Matchweek 7,Mon,Away,W,2,0,Fulham,1.7,1.1,44.0,24445.0,Conor Gallagher,4-3-3,4-3-3,Tim Robinson,Match Report,,11.0,4.0,19.8,1.0,0,0,2024,Chelsea
197,9,2023-10-07,15:00,Premier League,Matchweek 8,Sat,Away,W,4,1,Burnley,1.9,0.7,62.0,21654.0,Conor Gallagher,4-3-3,4-3-3,Stuart Attwell,Match Report,,8.0,4.0,18.1,0.0,1,1,2024,Chelsea
200,13,2023-11-06,20:00,Premier League,Matchweek 11,Mon,Away,W,4,1,Tottenham,4.1,0.9,60.0,61726.0,Reece James,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,16.0,6.0,16.8,0.0,1,1,2024,Chelsea
203,16,2023-12-03,14:00,Premier League,Matchweek 14,Sun,Home,W,3,2,Brighton,2.1,1.1,32.0,39647.0,Conor Gallagher,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,,7.0,3.0,19.6,0.0,1,1,2024,Chelsea
206,19,2023-12-16,15:00,Premier League,Matchweek 17,Sat,Home,W,2,0,Sheffield Utd,3.1,0.4,78.0,39599.0,Conor Gallagher,4-2-3-1,4-1-4-1,Andy Madley,Match Report,,15.0,6.0,17.2,1.0,0,0,2024,Chelsea
208,22,2023-12-27,19:30,Premier League,Matchweek 19,Wed,Home,W,2,1,Crystal Palace,2.6,1.1,63.0,39618.0,Conor Gallagher,4-2-3-1,4-3-3,Michael Salisbury,Match Report,,8.0,2.0,15.3,0.0,1,1,2024,Chelsea
209,23,2023-12-30,12:30,Premier League,Matchweek 20,Sat,Away,W,3,2,Luton Town,1.5,2.3,48.0,11041.0,Conor Gallagher,4-2-3-1,3-4-3,Paul Tierney,Match Report,,12.0,8.0,17.5,0.0,0,0,2024,Chelsea
210,26,2024-01-13,12:30,Premier League,Matchweek 21,Sat,Home,W,1,0,Fulham,2.2,0.8,55.0,39643.0,Conor Gallagher,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,16.0,2.0,17.5,0.0,1,1,2024,Chelsea
213,32,2024-02-12,20:00,Premier League,Matchweek 24,Mon,Away,W,3,1,Crystal Palace,1.4,0.6,77.0,25110.0,Ben Chilwell,4-2-3-1,4-1-4-1,Michael Oliver,Match Report,,14.0,5.0,15.3,0.0,0,0,2024,Chelsea
216,37,2024-03-11,20:00,Premier League,Matchweek 28,Mon,Home,W,3,2,Newcastle Utd,1.6,0.7,44.0,37753.0,Conor Gallagher,4-2-3-1,4-3-3,John Brooks,Match Report,,12.0,7.0,19.7,0.0,0,0,2024,Chelsea
218,40,2024-04-04,20:15,Premier League,Matchweek 31,Thu,Home,W,4,3,Manchester Utd,3.0,1.5,57.0,39694.0,Conor Gallagher,4-2-3-1,4-2-3-1,Jarred Gillett,Match Report,,26.0,8.0,19.0,1.0,2,2,2024,Chelsea
220,42,2024-04-15,20:00,Premier League,Matchweek 33,Mon,Home,W,6,0,Everton,3.1,1.5,58.0,39392.0,Conor Gallagher,4-2-3-1,4-4-1-1,Paul Tierney,Match Report,,13.0,9.0,18.8,0.0,1,1,2024,Chelsea
223,46,2024-05-02,19:30,Premier League,Matchweek 26,Thu,Home,W,2,0,Tottenham,2.2,1.6,37.0,39086.0,Conor Gallagher,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,16.0,4.0,16.1,2.0,0,0,2024,Chelsea
224,47,2024-05-05,14:00,Premier League,Matchweek 36,Sun,Home,W,5,0,West Ham,4.1,0.9,69.0,39295.0,Conor Gallagher,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,25.0,14.0,15.7,1.0,0,0,2024,Chelsea
225,48,2024-05-11,17:30,Premier League,Matchweek 37,Sat,Away,W,3,2,Nott'ham Forest,1.6,1.5,67.0,29708.0,Conor Gallagher,4-2-3-1,5-4-1,Tony Harrington,Match Report,,12.0,5.0,12.0,1.0,0,0,2024,Chelsea
226,49,2024-05-15,19:45,Premier League,Matchweek 34,Wed,Away,W,2,1,Brighton,1.5,1.3,45.0,31555.0,Conor Gallagher,4-2-3-1,4-2-3-1,Michael Salisbury,Match Report,,14.0,6.0,20.3,2.0,0,0,2024,Chelsea
227,50,2024-05-19,16:00,Premier League,Matchweek 38,Sun,Home,W,2,1,Bournemouth,1.1,2.2,61.0,39724.0,Conor Gallagher,4-2-3-1,4-2-3-1,Anthony Taylor,Match Report,,16.0,6.0,18.2,0.0,0,0,2024,Chelsea
