,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
456,0,2023-08-12,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,2.7,58.0,39940.0,Tom Cairney,4-3-3,4-4-1-1,Stuart Attwell,Match Report,,9.0,2.0,13.2,0.0,0,0,2024,Fulham
460,5,2023-09-16,15:00,Premier League,Matchweek 5,Sat,Home,W,1,0,Luton Town,1.0,1.1,77.0,24467.0,Tim Ream,4-3-3,5-3-2,Michael Salisbury,Match Report,,13.0,2.0,19.5,2.0,0,0,2024,Fulham
463,9,2023-10-07,15:00,Premier League,Matchweek 8,Sat,Home,W,3,1,Sheffield Utd,2.2,0.6,60.0,24361.0,Tim Ream,4-3-3,3-5-2,Samuel Barrott,Match Report,,20.0,6.0,20.2,0.0,0,0,2024,Fulham
468,15,2023-11-27,20:00,Premier League,Matchweek 13,Mon,Home,W,3,2,Wolves,2.9,1.4,60.0,24366.0,Tom Cairney,4-2-3-1,3-5-2,Michael Salisbury,Match Report,,10.0,4.0,22.9,0.0,2,2,2024,Fulham
470,17,2023-12-06,19:30,Premier League,Matchweek 15,Wed,Home,W,5,0,Nott'ham Forest,2.5,0.3,63.0,24105.0,Tom Cairney,4-2-3-1,4-2-3-1,Joshua Smith,Match Report,,14.0,6.0,17.3,1.0,0,0,2024,Fulham
471,18,2023-12-10,14:00,Premier League,Matchweek 16,Sun,Home,W,5,0,West Ham,2.3,1.3,63.0,23988.0,Tom Cairney,4-2-3-1,4-4-1-1,Paul Tierney,Match Report,,14.0,8.0,17.7,0.0,0,0,2024,Fulham
475,23,2023-12-31,14:00,Premier League,Matchweek 20,Sun,Home,W,2,1,Arsenal,1.2,1.6,40.0,24444.0,Tom Cairney,4-2-3-1,4-3-3,Joshua Smith,Match Report,,15.0,4.0,18.2,1.0,0,0,2024,Fulham
479,31,2024-02-10,15:00,Premier League,Matchweek 24,Sat,Home,W,3,1,Bournemouth,1.6,1.8,49.0,24271.0,Tom Cairney,4-2-3-1,4-2-3-1,Darren England,Match Report,,7.0,6.0,11.4,0.0,0,0,2024,Fulham
481,33,2024-02-24,15:00,Premier League,Matchweek 26,Sat,Away,W,2,1,Manchester Utd,1.2,1.7,43.0,73487.0,Harrison Reed,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,,17.0,5.0,17.1,0.0,0,0,2024,Fulham
482,34,2024-03-02,15:00,Premier League,Matchweek 27,Sat,Home,W,3,0,Brighton,1.3,1.3,30.0,24460.0,Harrison Reed,4-2-3-1,3-4-3,Simon Hooper,Match Report,,12.0,5.0,14.6,0.0,0,0,2024,Fulham
484,36,2024-03-16,17:30,Premier League,Matchweek 29,Sat,Home,W,3,0,Tottenham,2.6,2.4,43.0,24410.0,Bernd Leno,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,16.0,7.0,12.7,0.0,0,0,2024,Fulham
488,40,2024-04-14,14:00,Premier League,Matchweek 33,Sun,Away,W,2,0,West Ham,3.2,0.9,42.0,62459.0,Bernd Leno,4-2-3-1,4-2-3-1,Stuart Attwell,Match Report,,18.0,10.0,15.1,0.0,0,0,2024,Fulham
493,45,2024-05-19,16:00,Premier League,Matchweek 38,Sun,Away,W,4,2,Luton Town,1.1,2.0,59.0,12027.0,Tim Ream,4-2-3-1,3-4-3,Matt Donohue,Match Report,,16.0,8.0,21.6,2.0,0,0,2024,Fulham
